Species_Code,DBH,Latitude,Longitude
BELE,1.20,41.98929,-72.12976
TSCA,2.00,41.98929,-72.12972
PIST,1.10,41.98929,-72.12909
BELE,1.00,41.98929,-72.12900
BELE,1.80,41.98929,-72.12871
BELE,1.70,41.98929,-72.12871
BELE,1.70,41.98929,-72.12870
TSCA,15.50,41.98929,-72.13070
BELE,24.50,41.98929,-72.13063
BELE,1.90,41.98929,-72.12978
TSCA,15.10,41.98929,-72.13018
PIST,1.40,41.98929,-72.12986
BELE,1.50,41.98929,-72.12976
BELE,1.00,41.98929,-72.12903
BELE,1.70,41.98929,-72.12902
BELE,1.20,41.98929,-72.12896
BELE,1.70,41.98929,-72.12870
TSCA,17.00,41.98929,-72.13064
PIST,1.70,41.98929,-72.12976
PIST,1.90,41.98929,-72.12972
PIST,1.90,41.98929,-72.12911
PIST,1.30,41.98929,-72.12910
BELE,2.10,41.98929,-72.12904
BELE,2.50,41.98929,-72.12872
PIST,8.30,41.98929,-72.12875
PIST,6.80,41.98929,-72.12875
TSCA,39.30,41.98929,-72.13037
TSCA,31.00,41.98929,-72.13023
PIST,1.20,41.98929,-72.12978
BELE,16.50,41.98929,-72.12945
TSCA,42.50,41.98929,-72.12919
BELE,1.50,41.98929,-72.12902
BELE,1.20,41.98929,-72.12900
BELE,1.20,41.98929,-72.12894
BELE,1.20,41.98929,-72.12894
TSCA,17.50,41.98930,-72.13036
TSCA,47.40,41.98930,-72.13008
PIST,4.10,41.98930,-72.12981
BELE,1.20,41.98930,-72.12912
BELE,1.50,41.98930,-72.12902
BELE,1.00,41.98930,-72.12901
BELE,1.60,41.98930,-72.12901
BELE,1.20,41.98930,-72.12900
BELE,1.30,41.98930,-72.12894
PIST,12.80,41.98930,-72.12875
BELE,1.20,41.98930,-72.12872
PIST,9.30,41.98930,-72.12872
PIST,2.70,41.98930,-72.12977
BELE,4.70,41.98930,-72.12912
BELE,4.30,41.98930,-72.12908
BELE,1.60,41.98930,-72.12900
BELE,1.50,41.98930,-72.12894
PIST,8.50,41.98930,-72.12874
TSCA,11.50,41.98930,-72.13063
PIST,1.50,41.98930,-72.12913
TSCA,2.60,41.98930,-72.12907
BELE,3.50,41.98930,-72.12872
BELE,1.00,41.98930,-72.12903
PIST,6.30,41.98930,-72.12872
BELE,2.10,41.98930,-72.12869
TSCA,21.10,41.98930,-72.13067
BELE,1.10,41.98930,-72.12904
PIST,2.30,41.98930,-72.12881
TSCA,21.20,41.98930,-72.13069
PIST,2.60,41.98930,-72.12980
PIST,2.60,41.98930,-72.12973
PIST,7.00,41.98930,-72.12907
PIST,7.30,41.98930,-72.12879
PIST,5.30,41.98930,-72.12879
TSCA,34.90,41.98930,-72.12948
TSCA,2.60,41.98930,-72.12908
BELE,1.70,41.98930,-72.12906
BELE,2.10,41.98930,-72.12900
BELE,1.20,41.98930,-72.12900
PIST,8.40,41.98930,-72.12880
TSCA,36.20,41.98930,-72.13076
TSCA,1.00,41.98930,-72.12912
BELE,1.00,41.98930,-72.12903
PIST,3.40,41.98930,-72.12879
TSCA,34.70,41.98930,-72.12926
BELE,8.00,41.98930,-72.12910
BELE,6.50,41.98930,-72.12880
PIST,9.50,41.98930,-72.12880
PIST,7.50,41.98930,-72.12879
TSCA,36.80,41.98930,-72.12990
PIST,1.70,41.98930,-72.12985
PIST,3.50,41.98930,-72.12980
BELE,2.40,41.98930,-72.12912
BELE,1.60,41.98931,-72.12908
PIST,4.40,41.98931,-72.12880
PIST,5.10,41.98931,-72.12880
PIST,1.70,41.98931,-72.12977
PIST,2.50,41.98931,-72.12976
BELE,3.30,41.98931,-72.12910
PIST,1.30,41.98931,-72.12880
TSCA,33.20,41.98931,-72.13054
PIST,1.30,41.98931,-72.12912
BELE,2.60,41.98931,-72.12911
BELE,1.10,41.98931,-72.12911
BELE,1.90,41.98931,-72.12909
BELE,2.00,41.98931,-72.12908
BELE,1.20,41.98931,-72.12907
PIST,10.80,41.98931,-72.12875
TSCA,3.00,41.98931,-72.12908
BELE,5.40,41.98931,-72.12908
BELE,3.20,41.98931,-72.12906
PIST,1.00,41.98931,-72.12906
BELE,1.00,41.98931,-72.12900
BELE,1.40,41.98931,-72.12898
PIST,12.00,41.98931,-72.12881
PIST,3.10,41.98931,-72.12874
PIST,5.50,41.98931,-72.12874
PIST,2.30,41.98931,-72.12981
TSCA,43.40,41.98931,-72.12939
PIST,7.60,41.98931,-72.12907
BELE,1.10,41.98931,-72.12907
BELE,4.30,41.98931,-72.12906
BELE,3.10,41.98931,-72.12905
BELE,1.20,41.98931,-72.12901
PIST,8.90,41.98931,-72.12886
PIST,5.70,41.98931,-72.12879
PIST,9.90,41.98931,-72.12876
ACRU,17.50,41.98931,-72.12869
ACRU,25.20,41.98931,-72.12971
TSCA,18.60,41.98931,-72.12960
BELE,2.70,41.98931,-72.12905
BELE,1.60,41.98931,-72.12887
PIST,10.00,41.98931,-72.12878
PIST,7.30,41.98931,-72.12874
PIST,9.70,41.98931,-72.12873
PIST,1.00,41.98931,-72.12976
PIST,2.50,41.98931,-72.12974
BELE,2.00,41.98931,-72.12906
PIST,3.80,41.98931,-72.12878
PIST,2.20,41.98931,-72.12876
PIST,4.60,41.98931,-72.12870
BELE,4.80,41.98931,-72.12911
BELE,2.00,41.98931,-72.12906
BELE,2.00,41.98931,-72.12904
BELE,3.10,41.98931,-72.12888
PIST,6.80,41.98931,-72.12876
BELE,2.00,41.98931,-72.12983
QURU,52.50,41.98931,-72.12920
PIST,8.70,41.98931,-72.12907
PIST,10.40,41.98931,-72.12887
PIST,15.50,41.98931,-72.12885
PIST,4.80,41.98931,-72.12876
PIST,5.00,41.98931,-72.12874
PIST,3.50,41.98931,-72.12874
BELE,1.70,41.98931,-72.12907
BELE,1.30,41.98931,-72.12905
BELE,1.10,41.98931,-72.12901
BELE,1.40,41.98931,-72.12899
PIST,3.30,41.98931,-72.12877
TSCA,29.80,41.98932,-72.13088
PIST,2.50,41.98932,-72.12978
BELE,1.70,41.98932,-72.12899
BELE,2.10,41.98932,-72.12894
TSCA,15.70,41.98932,-72.12961
PIST,1.90,41.98932,-72.12912
PIST,7.50,41.98932,-72.12906
BELE,1.70,41.98932,-72.12904
BELE,3.20,41.98932,-72.12894
BELE,5.60,41.98932,-72.12894
BELE,3.90,41.98932,-72.12888
PIST,3.20,41.98932,-72.12876
PIST,5.00,41.98932,-72.12874
PIST,3.60,41.98932,-72.12874
PIST,4.20,41.98932,-72.12874
TSCA,34.70,41.98932,-72.13036
PIST,60.20,41.98932,-72.13003
PIST,3.00,41.98932,-72.12982
TSCA,25.00,41.98932,-72.12963
BELE,14.90,41.98932,-72.12929
PIST,4.40,41.98932,-72.12911
BELE,1.70,41.98932,-72.12905
BELE,1.10,41.98932,-72.12905
BELE,5.70,41.98932,-72.12905
PIST,3.10,41.98932,-72.12904
BELE,2.80,41.98932,-72.12894
BELE,1.10,41.98932,-72.12894
PIST,3.70,41.98932,-72.12877
PIST,3.60,41.98932,-72.12872
ACRU,17.40,41.98932,-72.12997
TSCA,13.40,41.98932,-72.12994
PIST,1.80,41.98932,-72.12980
BELE,1.50,41.98932,-72.12903
BELE,1.40,41.98932,-72.12902
BELE,1.00,41.98932,-72.12894
PIST,9.00,41.98932,-72.12879
PIST,4.90,41.98932,-72.12875
PIST,3.30,41.98932,-72.12906
BELE,1.90,41.98932,-72.12901
PIST,2.60,41.98932,-72.12885
PIST,4.00,41.98932,-72.12879
PIST,2.50,41.98932,-72.12875
PIST,1.20,41.98932,-72.12979
PIST,6.50,41.98932,-72.12908
PIST,4.70,41.98932,-72.12906
PIST,1.10,41.98932,-72.12890
PIST,1.30,41.98932,-72.12883
PIST,9.80,41.98932,-72.12878
PIST,6.20,41.98932,-72.12877
PIST,2.90,41.98932,-72.12876
PIST,3.60,41.98932,-72.12872
BELE,5.00,41.98932,-72.12871
TSCA,50.80,41.98932,-72.13031
TSCA,54.10,41.98932,-72.13031
PIST,1.90,41.98932,-72.12974
BELE,1.30,41.98932,-72.12903
PIST,3.50,41.98932,-72.12882
PIST,4.50,41.98932,-72.12875
PIST,4.40,41.98932,-72.12873
PIST,6.20,41.98932,-72.12872
PIST,3.30,41.98932,-72.12868
ACRU,32.60,41.98932,-72.13083
PIST,2.30,41.98932,-72.12976
TSCA,18.10,41.98932,-72.12965
BELE,1.00,41.98932,-72.12899
PIST,1.70,41.98932,-72.12882
BELE,6.30,41.98932,-72.12880
PIST,6.70,41.98932,-72.12876
PIST,3.60,41.98932,-72.12876
PIST,4.10,41.98932,-72.12873
PIST,7.40,41.98932,-72.12870
PIST,4.40,41.98932,-72.12870
PIST,6.40,41.98932,-72.12870
PIST,4.90,41.98932,-72.12870
PIST,7.90,41.98932,-72.12869
TSCA,27.70,41.98932,-72.12995
PIST,2.00,41.98932,-72.12978
BELE,7.00,41.98932,-72.12896
BELE,5.60,41.98932,-72.12889
BELE,1.50,41.98932,-72.12880
PIST,3.40,41.98932,-72.12877
PIST,5.80,41.98932,-72.12869
PIST,2.50,41.98932,-72.12983
BELE,3.30,41.98932,-72.12907
BELE,2.10,41.98932,-72.12880
PIST,7.90,41.98932,-72.12878
PIST,5.70,41.98932,-72.12876
ACRU,19.30,41.98933,-72.13047
PIST,5.90,41.98933,-72.12869
PIST,4.70,41.98933,-72.12914
PIST,3.40,41.98933,-72.12905
PIST,5.40,41.98933,-72.12875
QURU,63.70,41.98933,-72.12873
TSCA,30.30,41.98933,-72.13041
BELE,1.80,41.98933,-72.12912
PIST,7.70,41.98933,-72.12909
TSCA,10.80,41.98933,-72.13047
PIST,1.40,41.98933,-72.12976
PIST,5.20,41.98933,-72.12906
BELE,1.70,41.98933,-72.12887
PIST,17.00,41.98933,-72.12884
BELE,5.20,41.98933,-72.12880
PIST,8.90,41.98933,-72.12876
PIST,4.90,41.98933,-72.12871
PIST,10.10,41.98933,-72.12868
PIST,6.10,41.98933,-72.12908
BELE,1.50,41.98933,-72.12900
BELE,1.90,41.98933,-72.12888
BELE,1.30,41.98933,-72.12880
BELE,4.90,41.98933,-72.12879
PIST,4.40,41.98933,-72.12873
BELE,21.40,41.98933,-72.12998
BELE,1.10,41.98933,-72.12898
BELE,7.00,41.98933,-72.12891
PIST,6.00,41.98933,-72.12888
PIST,8.10,41.98933,-72.12878
PIST,1.40,41.98933,-72.12874
BELE,1.40,41.98933,-72.12874
PIST,5.20,41.98933,-72.12874
BELE,2.20,41.98933,-72.12874
PIST,4.60,41.98933,-72.12873
TSCA,29.40,41.98933,-72.12948
PIST,2.00,41.98933,-72.12916
PIST,1.70,41.98933,-72.12913
BELE,1.80,41.98933,-72.12902
PIST,1.50,41.98933,-72.12890
BELE,6.30,41.98933,-72.12885
PIST,3.80,41.98933,-72.12873
TSCA,12.60,41.98933,-72.13055
PIST,2.20,41.98933,-72.12913
BELE,2.20,41.98933,-72.12902
PIST,2.60,41.98933,-72.12890
PIST,5.10,41.98933,-72.12870
PIST,8.20,41.98933,-72.12870
TSCA,47.40,41.98933,-72.13046
BELE,26.70,41.98933,-72.12949
BELE,1.70,41.98933,-72.12902
BELE,1.30,41.98933,-72.12886
BELE,2.80,41.98933,-72.12873
PIST,6.00,41.98933,-72.12873
BELE,2.00,41.98933,-72.12908
BELE,2.00,41.98933,-72.12899
BELE,3.40,41.98933,-72.12896
BELE,2.50,41.98933,-72.12891
PIST,1.90,41.98933,-72.12889
PIST,1.90,41.98933,-72.12888
TSCA,2.10,41.98933,-72.12870
BELE,1.20,41.98934,-72.12897
BELE,2.20,41.98934,-72.12895
PIST,4.70,41.98934,-72.12890
BELE,1.90,41.98934,-72.12873
TSCA,13.50,41.98934,-72.12960
TSCA,30.30,41.98934,-72.12951
PIST,11.00,41.98934,-72.12906
BELE,1.00,41.98934,-72.12896
BELE,1.60,41.98934,-72.12890
PIST,4.20,41.98934,-72.12870
PIST,4.20,41.98934,-72.12870
BELE,1.60,41.98934,-72.12895
PIST,4.40,41.98934,-72.12870
TSCA,36.00,41.98934,-72.12968
QURU,42.30,41.98934,-72.12964
TSCA,24.90,41.98934,-72.12958
PIST,6.70,41.98934,-72.12910
PIST,13.90,41.98934,-72.12898
BELE,3.60,41.98934,-72.12887
BELE,3.80,41.98934,-72.12881
TSCA,16.00,41.98934,-72.13082
BELE,6.40,41.98934,-72.12892
BELE,2.60,41.98934,-72.12882
PIST,1.50,41.98934,-72.12869
PIST,8.00,41.98934,-72.12907
PIST,7.90,41.98934,-72.12906
BELE,2.40,41.98934,-72.12896
BELE,2.30,41.98934,-72.12896
PIST,16.00,41.98934,-72.12884
BELE,2.20,41.98934,-72.12880
BELE,3.00,41.98934,-72.12873
PIST,4.80,41.98934,-72.12870
BELE,7.00,41.98934,-72.12908
PIST,2.20,41.98934,-72.12905
BELE,4.00,41.98934,-72.12890
PIST,7.20,41.98934,-72.12869
TSCA,40.10,41.98934,-72.12996
TSCA,3.20,41.98934,-72.12908
BELE,7.00,41.98934,-72.12902
BELE,1.70,41.98934,-72.12902
PIST,2.40,41.98934,-72.12891
BELE,3.30,41.98934,-72.12890
BELE,1.00,41.98934,-72.12890
TSCA,16.30,41.98934,-72.12984
QURU,40.50,41.98934,-72.12923
PIST,9.10,41.98934,-72.12914
BELE,1.00,41.98934,-72.12896
PIST,4.50,41.98934,-72.12889
PIST,2.40,41.98934,-72.12888
BELE,1.80,41.98934,-72.12886
BELE,3.50,41.98934,-72.12884
TSCA,29.90,41.98934,-72.13065
BELE,5.30,41.98934,-72.12891
PIST,1.40,41.98934,-72.12886
BELE,1.80,41.98935,-72.12891
BELE,1.30,41.98935,-72.12891
PIST,1.90,41.98935,-72.12888
PIST,1.50,41.98935,-72.12888
BELE,1.20,41.98935,-72.12880
BELE,1.90,41.98935,-72.12878
BELE,3.60,41.98935,-72.12877
PIST,10.60,41.98935,-72.12872
PIST,3.50,41.98935,-72.12868
TSCA,16.90,41.98935,-72.13077
BELE,2.30,41.98935,-72.12903
PIST,1.70,41.98935,-72.12887
PIST,1.20,41.98935,-72.12882
BELE,3.00,41.98935,-72.12875
BELE,2.10,41.98935,-72.12871
PIST,2.70,41.98935,-72.12870
PIST,3.10,41.98935,-72.12869
TSCA,16.80,41.98935,-72.13072
TSCA,31.50,41.98935,-72.13021
PIST,49.50,41.98935,-72.12986
PIST,4.50,41.98935,-72.12908
PIST,5.20,41.98935,-72.12908
BELE,1.00,41.98935,-72.12900
BELE,4.80,41.98935,-72.12890
PIST,6.60,41.98935,-72.12869
TSCA,24.00,41.98935,-72.13051
TSCA,36.00,41.98935,-72.13016
TSCA,40.30,41.98935,-72.12996
BELE,2.40,41.98935,-72.12892
PIST,6.60,41.98935,-72.12869
ACRU,29.80,41.98935,-72.12962
PIST,2.80,41.98935,-72.12938
BELE,4.50,41.98935,-72.12916
PIST,8.20,41.98935,-72.12907
TSCA,3.20,41.98935,-72.12907
BELE,1.40,41.98935,-72.12900
BELE,4.50,41.98935,-72.12893
BELE,4.00,41.98935,-72.12890
BELE,6.50,41.98935,-72.12881
TSCA,28.30,41.98935,-72.12988
BELE,6.20,41.98935,-72.12916
BELE,1.20,41.98935,-72.12901
PIST,1.00,41.98935,-72.12869
ACRU,19.90,41.98935,-72.13069
TSCA,17.10,41.98935,-72.12991
PIST,4.30,41.98935,-72.12902
PIST,5.80,41.98935,-72.12888
TSCA,25.40,41.98935,-72.13056
TSCA,25.50,41.98935,-72.13001
TSCA,21.10,41.98935,-72.12965
PIST,1.70,41.98935,-72.12912
TSCA,43.20,41.98935,-72.13033
TSCA,16.50,41.98935,-72.13018
PIST,1.70,41.98935,-72.12883
PIST,3.00,41.98935,-72.12869
PIST,6.30,41.98935,-72.12837
TSCA,15.60,41.98935,-72.13056
PIST,3.30,41.98935,-72.12914
PIST,3.00,41.98935,-72.12908
PIST,4.10,41.98935,-72.12868
PIST,1.00,41.98936,-72.12922
BELE,1.60,41.98936,-72.12898
BELE,1.20,41.98936,-72.12897
BELE,1.60,41.98936,-72.12897
BELE,1.30,41.98936,-72.12896
BELE,1.30,41.98936,-72.12896
PIST,4.80,41.98936,-72.12886
BELE,7.30,41.98936,-72.12880
TSCA,6.20,41.98936,-72.12916
PIST,5.10,41.98936,-72.12912
PIST,2.70,41.98936,-72.12911
PIST,5.70,41.98936,-72.12910
PIST,8.80,41.98936,-72.12907
PIST,11.80,41.98936,-72.12905
BELE,8.00,41.98936,-72.12888
PIST,1.90,41.98936,-72.12883
BELE,4.50,41.98936,-72.12881
PIST,6.10,41.98936,-72.12869
TSCA,26.20,41.98936,-72.13082
TSCA,43.10,41.98936,-72.12956
BELE,7.20,41.98936,-72.12893
PIST,2.90,41.98936,-72.12885
PIST,12.90,41.98936,-72.12879
QURU,33.00,41.98936,-72.12926
BELE,4.00,41.98936,-72.12893
BELE,1.50,41.98936,-72.12883
PIST,1.30,41.98936,-72.12881
PIST,7.90,41.98936,-72.12868
TSCA,34.00,41.98936,-72.13076
TSCA,29.30,41.98936,-72.13060
TSCA,45.40,41.98936,-72.12965
BELE,5.10,41.98936,-72.12878
TSCA,35.00,41.98936,-72.13012
BELE,1.40,41.98936,-72.12900
PIST,9.10,41.98936,-72.12869
TSCA,12.70,41.98936,-72.13070
TSCA,22.70,41.98936,-72.13030
TSCA,21.80,41.98936,-72.13016
PIST,6.00,41.98936,-72.12912
PIST,8.90,41.98936,-72.12871
TSCA,14.20,41.98936,-72.13069
TSCA,17.50,41.98936,-72.13016
PIST,6.10,41.98936,-72.12914
PIST,2.10,41.98936,-72.12906
BELE,2.20,41.98936,-72.12888
PIST,7.10,41.98936,-72.12871
PIST,7.20,41.98936,-72.12869
TSCA,7.50,41.98936,-72.13088
TSCA,11.00,41.98936,-72.12964
PIST,4.80,41.98936,-72.12902
BELE,1.30,41.98936,-72.12896
TSCA,21.30,41.98936,-72.13073
ACRU,21.90,41.98936,-72.12978
PIST,6.40,41.98936,-72.12910
BELE,8.00,41.98936,-72.12903
PIST,3.30,41.98936,-72.12902
PIST,1.40,41.98936,-72.12902
PIST,2.60,41.98936,-72.12886
BELE,5.60,41.98936,-72.12881
PIST,7.40,41.98936,-72.12876
PIST,1.50,41.98936,-72.12871
PIST,1.20,41.98937,-72.12887
PIST,5.80,41.98937,-72.12886
BELE,2.40,41.98937,-72.12881
PIST,7.60,41.98937,-72.12868
PIST,78.70,41.98937,-72.12941
PIST,3.50,41.98937,-72.12915
PIST,5.60,41.98937,-72.12908
PIST,3.30,41.98937,-72.12885
PIST,4.00,41.98937,-72.12883
BELE,3.40,41.98937,-72.12881
TSCA,25.60,41.98937,-72.13019
TSCA,1.00,41.98937,-72.12918
PIST,4.10,41.98937,-72.12915
PIST,1.20,41.98937,-72.12892
PIST,3.60,41.98937,-72.12868
BELE,16.30,41.98937,-72.12935
BELE,3.40,41.98937,-72.12918
BELE,2.10,41.98937,-72.12900
BELE,2.00,41.98937,-72.12899
BELE,3.00,41.98937,-72.12879
TSCA,5.30,41.98937,-72.12868
QURU,32.40,41.98937,-72.13057
TSCA,13.00,41.98937,-72.12991
PIST,1.70,41.98937,-72.12918
BELE,4.00,41.98937,-72.12900
BELE,1.60,41.98937,-72.12896
BELE,8.60,41.98937,-72.12878
PIST,4.30,41.98937,-72.12871
PIST,1.50,41.98937,-72.12868
TSCA,38.80,41.98937,-72.12942
PIST,1.90,41.98937,-72.12868
TSCA,17.50,41.98937,-72.13015
TSCA,34.10,41.98937,-72.12964
TSCA,3.10,41.98937,-72.12915
PIST,4.00,41.98937,-72.12907
PIST,2.30,41.98937,-72.12901
BELE,2.50,41.98937,-72.12901
BELE,1.00,41.98937,-72.12896
PIST,8.00,41.98937,-72.12886
PIST,6.30,41.98937,-72.12871
TSCA,2.60,41.98937,-72.12908
BELE,1.70,41.98937,-72.12896
PIST,5.30,41.98937,-72.12907
PIST,6.10,41.98937,-72.12906
BELE,5.30,41.98937,-72.12879
PIST,4.00,41.98937,-72.12871
TSCA,1.60,41.98937,-72.12868
PIST,1.70,41.98937,-72.12866
TSCA,21.00,41.98937,-72.12994
TSCA,21.90,41.98937,-72.12991
PIST,2.90,41.98937,-72.12918
PIST,4.10,41.98937,-72.12914
PIST,5.70,41.98937,-72.12908
PIST,3.70,41.98937,-72.12887
PIST,1.80,41.98938,-72.12974
BELE,1.20,41.98938,-72.12892
BELE,3.50,41.98938,-72.12880
PIST,4.20,41.98938,-72.12879
PIST,1.70,41.98938,-72.12869
PIST,4.10,41.98938,-72.12916
PIST,6.10,41.98938,-72.12908
BELE,4.90,41.98938,-72.12904
PIST,3.60,41.98938,-72.12897
PIST,4.70,41.98938,-72.12871
PIST,2.80,41.98938,-72.12868
TSCA,37.10,41.98938,-72.12995
TSCA,37.30,41.98938,-72.12995
BELE,5.10,41.98938,-72.12899
PIST,3.90,41.98938,-72.12894
BELE,3.10,41.98938,-72.12886
TSCA,13.20,41.98938,-72.13065
TSCA,22.90,41.98938,-72.13039
TSCA,4.10,41.98938,-72.12918
TSCA,10.10,41.98938,-72.12907
BELE,9.30,41.98938,-72.12904
PIST,11.20,41.98938,-72.12899
BELE,2.40,41.98938,-72.12898
PIST,1.50,41.98938,-72.12880
PIST,4.90,41.98938,-72.12875
TSCA,47.00,41.98938,-72.12984
PIST,1.20,41.98938,-72.12970
PIST,2.20,41.98938,-72.12917
PIST,3.30,41.98938,-72.12916
BELE,4.30,41.98938,-72.12897
PIST,3.40,41.98938,-72.12883
TSCA,38.10,41.98938,-72.13025
TSCA,24.40,41.98938,-72.13011
TSCA,17.20,41.98938,-72.13005
PIST,2.30,41.98938,-72.12917
PIST,3.80,41.98938,-72.12911
TSCA,6.80,41.98938,-72.12911
PIST,1.70,41.98938,-72.12907
BELE,3.10,41.98938,-72.12897
BELE,1.40,41.98938,-72.12887
PIST,11.50,41.98938,-72.12874
TSCA,26.80,41.98938,-72.13037
PIST,2.70,41.98938,-72.12912
PIST,5.50,41.98938,-72.12881
PIST,2.70,41.98938,-72.12879
PIST,1.30,41.98938,-72.12876
PIST,4.20,41.98938,-72.12875
PIST,5.90,41.98938,-72.12868
PIST,4.00,41.98938,-72.12867
PIST,2.00,41.98938,-72.12915
PIST,5.00,41.98938,-72.12905
BELE,6.00,41.98938,-72.12875
BELE,1.50,41.98938,-72.12875
PIST,1.20,41.98938,-72.12871
PIST,8.60,41.98938,-72.12870
PIST,60.80,41.98938,-72.13051
TSCA,13.90,41.98938,-72.13041
PIST,9.10,41.98938,-72.12907
PIST,3.70,41.98938,-72.12907
BELE,2.60,41.98938,-72.12877
PIST,7.90,41.98938,-72.12876
PIST,1.60,41.98938,-72.12867
PIST,3.00,41.98938,-72.12867
PIST,2.20,41.98939,-72.12916
PIST,3.80,41.98939,-72.12914
PIST,4.70,41.98939,-72.12909
PIST,7.00,41.98939,-72.12905
PIST,4.60,41.98939,-72.12905
BELE,5.00,41.98939,-72.12901
BELE,1.00,41.98939,-72.12897
PIST,3.90,41.98939,-72.12884
BELE,3.90,41.98939,-72.12879
BELE,2.90,41.98939,-72.12875
TSCA,32.50,41.98939,-72.13066
TSCA,18.30,41.98939,-72.13057
TSCA,39.70,41.98939,-72.12934
PIST,5.40,41.98939,-72.12906
BELE,3.20,41.98939,-72.12879
TSCA,26.30,41.98939,-72.13047
TSCA,27.10,41.98939,-72.12993
PIST,1.00,41.98939,-72.12974
PIST,3.90,41.98939,-72.12914
PIST,5.90,41.98939,-72.12907
PIST,1.10,41.98939,-72.12895
PIST,2.10,41.98939,-72.12890
PIST,2.20,41.98939,-72.12917
PIST,1.30,41.98939,-72.12903
BELE,1.70,41.98939,-72.12895
PIST,1.50,41.98939,-72.12877
PIST,3.60,41.98939,-72.12872
PIST,1.30,41.98939,-72.12869
ACRU,28.00,41.98939,-72.13013
TSCA,1.40,41.98939,-72.12917
TSCA,4.10,41.98939,-72.12917
PIST,5.70,41.98939,-72.12914
PIST,4.90,41.98939,-72.12906
BELE,4.00,41.98939,-72.12897
BELE,1.40,41.98939,-72.12869
TSCA,20.60,41.98939,-72.13065
TSCA,8.80,41.98939,-72.12992
TSCA,22.40,41.98939,-72.12992
TSCA,2.60,41.98939,-72.12917
PIST,1.70,41.98939,-72.12878
QURU,53.50,41.98939,-72.12962
TSCA,25.10,41.98939,-72.12933
PIST,3.60,41.98939,-72.12910
PIST,6.00,41.98939,-72.12894
PIST,1.70,41.98939,-72.12885
PIST,4.30,41.98939,-72.12884
PIST,4.50,41.98939,-72.12884
PIST,2.10,41.98939,-72.12878
PIST,1.30,41.98939,-72.12878
BELE,4.40,41.98939,-72.12877
TSCA,2.90,41.98939,-72.12911
PIST,4.10,41.98939,-72.12910
PIST,5.60,41.98939,-72.12906
BELE,1.00,41.98939,-72.12889
BELE,1.00,41.98939,-72.12887
PIST,6.00,41.98939,-72.12886
PIST,10.00,41.98939,-72.12885
BELE,6.20,41.98939,-72.12883
BELE,2.40,41.98939,-72.12877
ACRU,30.30,41.98939,-72.13010
PIST,4.70,41.98939,-72.12906
PIST,2.90,41.98939,-72.12896
PIST,3.40,41.98939,-72.12896
PIST,2.10,41.98939,-72.12895
PIST,4.90,41.98939,-72.12872
PIST,2.60,41.98939,-72.12870
BELE,20.60,41.98939,-72.13029
BELE,24.60,41.98939,-72.13029
BELE,13.50,41.98939,-72.13029
PIST,58.00,41.98939,-72.12996
PIST,61.50,41.98939,-72.12989
PIST,7.20,41.98939,-72.12915
PIST,4.10,41.98939,-72.12912
BELE,4.90,41.98939,-72.12896
PIST,1.20,41.98939,-72.12896
PIST,8.00,41.98939,-72.12886
PIST,3.00,41.98939,-72.12873
PIST,2.80,41.98939,-72.12872
PIST,6.90,41.98939,-72.12872
PIST,3.90,41.98939,-72.12870
BELE,21.30,41.98940,-72.12929
TSCA,16.90,41.98940,-72.12928
PIST,4.20,41.98940,-72.12905
PIST,NA,41.98940,-72.12883
PIST,4.10,41.98940,-72.12869
PIST,1.60,41.98940,-72.12869
PIST,1.40,41.98940,-72.12869
PIST,1.40,41.98940,-72.12868
BELE,18.10,41.98940,-72.12940
TSCA,6.20,41.98940,-72.12934
PIST,1.80,41.98940,-72.12915
PIST,5.00,41.98940,-72.12915
BELE,10.40,41.98940,-72.12887
PIST,4.30,41.98940,-72.12881
PIST,8.00,41.98940,-72.12874
TSCA,21.10,41.98940,-72.13068
PIST,2.70,41.98940,-72.12906
PIST,8.30,41.98940,-72.12904
BELE,3.30,41.98940,-72.12877
PIST,1.90,41.98940,-72.12871
PIST,3.60,41.98940,-72.12870
PIST,4.10,41.98940,-72.12868
TSCA,3.80,41.98940,-72.12914
PIST,2.50,41.98940,-72.12914
BELE,1.30,41.98940,-72.12877
BELE,2.80,41.98940,-72.12876
PIST,6.60,41.98940,-72.12873
PIST,4.90,41.98940,-72.12869
PIST,5.30,41.98940,-72.12868
PIST,3.40,41.98940,-72.12913
PIST,1.90,41.98940,-72.12907
PIST,1.40,41.98940,-72.12879
BELE,5.20,41.98940,-72.12877
PIST,5.50,41.98940,-72.12871
PIST,1.10,41.98940,-72.12869
TSCA,14.90,41.98940,-72.13087
ACRU,32.20,41.98940,-72.13036
PIST,4.50,41.98940,-72.12909
PIST,1.40,41.98940,-72.12880
PIST,6.50,41.98940,-72.12879
TSCA,24.70,41.98940,-72.13035
ACRU,21.40,41.98940,-72.12997
TSCA,19.00,41.98940,-72.12934
PIST,4.50,41.98940,-72.12908
BELE,1.30,41.98940,-72.12876
TSCA,15.00,41.98940,-72.13073
TSCA,12.00,41.98940,-72.13051
PIST,3.40,41.98940,-72.12912
PIST,3.00,41.98940,-72.12912
PIST,3.00,41.98940,-72.12906
BELE,5.80,41.98940,-72.12891
BELE,1.00,41.98940,-72.12891
BELE,18.00,41.98940,-72.12939
ACRU,24.40,41.98940,-72.12974
PIST,1.80,41.98940,-72.12914
