Tree_ID,Tree_sp,Plot,Cardinal.Direction,Distance.from.stem..cm,Total.Hole.depth..cm,Organic.Sample.Depth..cm,Mineral.Sample.Depth..cm,Soil.Temp,VWC1,VWC2,VWC3,ORP..mV,Time.Collected,Date.Collected,Personel,Notes
WP103,PIST,,W,,23.5,2.5,21,18.3,13.5,NA,,428,,,,
SM1,ACSA,Lab,S,,0,NA,,18.2,43.5,NA,,325,13:55,7/19/21,"MB, MH, JG",forgot to record depth
SM1,ACSA,,W,,0,NA,,18.3,35,NA,,369,13:57,7/19/21,"MB, MH, JG",forgot to record depth
SM1,ACSA,,N,,0,NA,,18.1,40.9,NA,,382,13:59,7/19/21,"MB, MH, JG",forgot to record depth
SM1,ACSA,,E,,0,NA,,18.2,41.3,NA,,429,14:01,7/19/21,"MB, MH, JG",forgot to record depth
SM2,ACSA,Lab,S,,21,1,20,17.4,47.8,NA,,445,14:55,7/19/21,"MB, MH, JG",
SM2,ACSA,,W,,21,1,20,17.8,42.1,NA,,322,14:55,7/19/21,"MB, MH, JG",
SM2,ACSA,,N,,17,1,16,17.8,36.6,NA,,408,14:55,7/19/21,"MB, MH, JG",
SM2,ACSA,,E,,21,1,20,16.6,39.6,NA,,358,14:55,7/19/21,"MB, MH, JG",
SM3,ACSA,Lab,S,,21,1,20,17.4,41.7,NA,,385,15:50,7/19/21,"MB, MH, JG",
SM3,ACSA,,W,,21,1,20,17.3,46.4,NA,,449,15:50,7/19/21,"MB, MH, JG",
SM3,ACSA,,N,,11,1,10,17.7,44.5,NA,,476,15:50,7/19/21,"MB, MH, JG",
SM3,ACSA,,E,,6,1,5,17.7,27.9,NA,,365,15:50,7/19/21,"MB, MH, JG",
SM4,ACSA,Lab,N,100,21,1,20,18.2,40.7,NA,,458,9:40,7/20/21,"MB, MH, JG",
SM4,ACSA,,E,100,11,1,10,18.5,30.1,NA,,438,9:40,7/20/21,"MB, MH, JG",
SM4,ACSA,,S,100,21,1,20,18.4,39.6,NA,,452,9:45,7/20/21,"MB, MH, JG",
SM4,ACSA,,W,100,21,1,20,17.9,43.3,NA,,422,9:45,7/20/21,"MB, MH, JG",
SM5,ACSA,Lab,N,100,12,2,10,18.6,40.2,NA,,377,10:20,7/20/21,"MB, MH, JG",
SM5,ACSA,,E,100,12,2,10,19,34.8,NA,,445,10:20,7/20/21,"MB, MH, JG",
SM5,ACSA,,S,100,20,2,18,19,34.8,NA,,421,10:25,7/20/21,"MB, MH, JG",
SM5,ACSA,,W,100,22,2,20,18.8,39.7,NA,,416,10:25,7/20/21,"MB, MH, JG",
SM6,ACSA,Lab,N,100,11,1,10,19,33.4,NA,,408,11:00,7/20/21,"MB, MH, JG",
SM6,ACSA,,E,100,21,1,20,18.6,37.8,NA,,406,11:00,7/20/21,"MB, MH, JG",
SM6,ACSA,,S,100,21,1,20,18.6,33.9,NA,,337,11:00,7/20/21,"MB, MH, JG",
SM6,ACSA,,W,100,21,1,20,18.5,39.2,NA,,393,11:00,7/20/21,"MB, MH, JG",
SM7,ACSA,Lab,N,,21.5,1.5,20,18.9,27.8,NA,,365,13:15,7/20/21,"MB, MH, JG",
SM7,ACSA,,E,,21.5,1.5,20,18.8,39.6,NA,,423,13:15,7/20/21,"MB, MH, JG",
SM7,ACSA,,S,,21.5,1.5,20,18.9,32,NA,,381,13:15,7/20/21,"MB, MH, JG",
SM7,ACSA,,W,,21.5,1.5,20,18.9,34.2,NA,,435,13:15,7/20/21,"MB, MH, JG",
SM8,ACSA,Lab,N,100,21,1,20,18.4,36.8,NA,,414,14:00,7/20/21,"MB, MH, JG",
SM8,ACSA,,E,100,21,1,20,18.8,38.8,NA,,410,14:00,7/20/21,"MB, MH, JG",
SM8,ACSA,,S,100,21,1,20,18.9,36.9,NA,,389,14:00,7/20/21,"MB, MH, JG",
SM8,ACSA,,W,100,21,1,20,18.5,39.8,NA,,437,14:00,7/20/21,"MB, MH, JG",
SM9,ACSA,Lab,N,,21,1,20,18.8,40.4,NA,,419,14:30,7/20/21,"MB, MH, JG",
SM9,ACSA,,E,,21,1,20,19.1,33.3,NA,,424,14:30,7/20/21,"MB, MH, JG",
SM9,ACSA,,S,,21,1,20,19.4,33.4,NA,,427,14:30,7/20/21,"MB, MH, JG",
SM9,ACSA,,W,,21,1,20,19,38.5,NA,,436,14:30,7/20/21,"MB, MH, JG",
SM10,ACSA,Lab,N,,21,1,20,18.8,36.2,NA,,531,15:15,7/20/21,"MB, MH, JG",
SM10,ACSA,,E,,21,1,20,19.1,21.3,NA,,419,15:15,7/20/21,"MB, MH, JG",
SM10,ACSA,,S,,21,1,20,19.2,38.2,NA,,439,15:15,7/20/21,"MB, MH, JG",
SM10,ACSA,,W,,6,1,5,18.8,36.4,NA,,428,15:15,7/20/21,"MB, MH, JG",
SM15,ACSA,Lab,N,100,21,1,20,19.1,28.6,NA,,377,9:51,7/21/21,"Ben, Judith, Jon",
SM15,ACSA,,E,100,21,1,20,18.4,28.7,NA,,378,10:09,7/21/21,"Ben, Judith, Jon",
SM15,ACSA,,S,100,21,1,20,18.7,32.7,NA,,437,10:20,7/21/21,"Ben, Judith, Jon",
