consensus_tree_id,normalized_id,Plot,DBH,source,variant_1,variant_2,name_in_datasheets,name_in_trees_dbh,name_in_labels,name_in_flux_temp,name_in_flux_dimensions,name_in_soil_data,name_in_ddpcr_data,name_variants
RM5,rm5,Lowland,33,trees_dbh,RM5,NA,RM5,RM5,RM5,NA,RM5,RM5,RM5,6
RM501,rm501,Lowland,21,datasheets,RM501,NA,RM501,NA,NA,RM501,RM501,RM501,RM501,5
RM502,rm502,Lowland,23,datasheets,RM502,NA,RM502,NA,NA,RM502,RM502,RM502,RM502,5
RM503,rm503,Lowland,42,datasheets,RM503,NA,RM503,NA,NA,RM503,RM503,RM503,RM503,5
RM6,rm6,Lowland,41,trees_dbh,RM6,NA,NA,RM6,RM6,NA,NA,NA,NA,2
RM7,rm7,Lowland,28,trees_dbh,RM7,NA,NA,RM7,RM7,NA,NA,NA,NA,2
RM8,rm8,Lowland,30.5,trees_dbh,RM8,NA,NA,RM8,RM8,NA,NA,NA,NA,2
RM9,rm9,Lowland,24,trees_dbh,RM9,NA,NA,RM9,RM9,NA,NA,NA,NA,2
RO1,ro1,Lowland,33,datasheets,RO1,NA,RO1,RO1,RO1,RO1,RO1,RO1,RO1,7
RO10,ro10,Lowland,33,datasheets,RO10,NA,RO10,RO10,RO10,RO10,RO10,RO10,RO10,7
RO11,ro11,Lowland,43,datasheets,RO11,NA,RO11,RO11,RO11,RO11,RO11,RO11,RO11,7
RO12,ro12,Lowland,44,trees_dbh,RO12,NA,NA,RO12,RO12,NA,NA,NA,NA,2
RO13,ro13,Lowland,41.2,datasheets,RO13,NA,RO13,RO13,RO13,RO13,RO13,RO13,RO13,7
RO14,ro14,Lowland,37,trees_dbh,RO14,NA,NA,RO14,RO14,NA,NA,NA,NA,2
RO15,ro15,Lowland,36.5,trees_dbh,RO15,NA,NA,RO15,RO15,NA,NA,NA,NA,2
RO16,ro16,Lowland,34.5,trees_dbh,RO16,NA,NA,RO16,RO16,NA,NA,NA,NA,2
RO2,ro2,Lowland,32,datasheets,RO2,NA,RO2,RO2,RO2,RO2,RO2,RO2,RO2,7
RO3,ro3,Lowland,50,datasheets,RO3,NA,RO3,RO3,RO3,RO3,RO3,RO3,RO3,7
RO4,ro4,Lowland,41,trees_dbh,RO4,NA,NA,RO4,RO4,NA,NA,NA,NA,2
RO5,ro5,Lowland,40.5,trees_dbh,RO5,NA,NA,RO5,RO5,NA,NA,NA,NA,2
RO6,ro6,Lowland,54.5,trees_dbh,RO6,NA,NA,RO6,RO6,NA,NA,NA,NA,2
RO7,ro7,Lowland,33.5,trees_dbh,RO7,NA,RO7,RO7,RO7,RO7,RO7,RO7,RO7,7
RO8,ro8,Lowland,38,datasheets,RO8,NA,RO8,RO8,RO8,RO8,RO8,RO8,RO8,7
RO9,ro9,Lowland,45.7,datasheets,RO9,NA,RO9,RO9,RO9,RO9,RO9,RO9,RO9,7
Untagged,untagged,Lowland,22,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Lowland,64,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Lowland,45,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Lowland,26,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Lowland,59.5,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
WO1,wo1,Lowland,36.5,datasheets,WO1,NA,WO1,WO1,WO1,WO1,WO1,WO1,WO1,7
WO2,wo2,Lowland,41,trees_dbh,WO2,NA,NA,WO2,WO2,NA,NA,NA,NA,2
WP1,wp1,Lowland,72,trees_dbh,WP1,NA,NA,WP1,WP1,NA,NA,NA,NA,2
WP10,wp10,Lowland,48.5,trees_dbh,WP10,NA,NA,WP10,WP10,NA,NA,NA,NA,2
WP11,wp11,Lowland,33,trees_dbh,WP11,NA,NA,WP11,WP11,NA,NA,NA,NA,2
WP12,wp12,Lowland,52.5,trees_dbh,WP12,NA,NA,WP12,WP12,NA,NA,NA,NA,2
WP13,wp13,Lowland,26,trees_dbh,WP13,NA,NA,WP13,WP13,NA,NA,NA,NA,2
WP14,wp14,Lowland,27,trees_dbh,WP14,NA,NA,WP14,WP14,NA,NA,NA,NA,2
WP2,wp2,Lowland,33,datasheets,WP2,NA,WP2,WP2,WP2,WP2,WP2,WP2,WP2,7
WP3,wp3,Lowland,65,datasheets,WP3,NA,WP3,WP3,WP3,WP3,WP3,WP3,WP3,7
WP4,wp4,Lowland,57,datasheets,WP4,NA,WP4,WP4,WP4,WP4,WP4,WP4,WP4,7
WP5,wp5,Lowland,66,datasheets,WP5,NA,WP5,WP5,WP5,WP5,WP5,WP5,WP5,7
WP6,wp6,Lowland,43.1,datasheets,WP6,NA,WP6,WP6,WP6,WP6,WP6,NA,WP6,6
WP7,wp7,Lowland,48.5,datasheets,WP7,NA,WP7,WP7,WP7,WP7,WP7,WP7,WP7,7
WP8,wp8,Lowland,38.4,datasheets,WP8,NA,WP8,NA,NA,WP8,WP8,NA,WP8,4
WP9,wp9,Lowland,47.8,datasheets,WP9,NA,WP9,WP9,WP9,WP9,WP9,WP9,WP9,7
YB CUL8R,yb cul8r,Lowland,21.5,datasheets,YB CUL8R,NA,YB CUL8R,NA,NA,YB CUL8R,YB CUL8R,NA,NA,3
YB1,yb1,Lowland,21,trees_dbh,YB1,NA,NA,YB1,YB1,NA,NA,NA,NA,2
YB10,yb10,Lowland,21,datasheets,YB10,NA,YB10,YB10,YB10,YB10,YB10,YB10,YB10,7
YB11,yb11,Lowland,21,datasheets,YB11,NA,YB11,YB11,YB11,YB11,YB11,YB11,YB11,7
YB11prime,yb11',Lowland,20.5,datasheets,YB11prime,YB11',YB11prime,NA,NA,YB11prime,YB11prime,YB11',YB11',5
YB12,yb12,Lowland,23.5,datasheets,YB12,NA,YB12,NA,NA,YB12,YB12,YB12,YB12,5
