UniqueID	start.time	Area	Vtot	Tcham	Pcham	Date	Plot Tag	Plot Letter	Chamber_ID	File name	Notes
2020-08-26_4774_U_2.0_2	2020-08-26 14:50:00	4215.56376326618	7.17158390687384	22.52	101.325	2020-08-26	4774	U	2.0	17.0	redo
2020-08-26_4783_U_1.0	2020-08-26 15:05:00	4470.36624722967	7.3485164865918	22.52	101.325	2020-08-26	4783	U	1.0	19.0	NA
2020-08-26_4156_U_2.0	2020-08-26 15:20:00	4178.05570649419	7.01095773833349	22.52	101.325	2020-08-26	4156	U	2.0	20.0	dead
2020-08-26_6371_I_1.0	2020-08-26 15:49:00	4246.10343077858	7.05918811576562	19.48	101.325	2020-08-26	6371	I	1.0	21.0	NA
2020-08-26_6393_I_2.0	2020-08-26 16:06:00	4188.39064372457	7.01368283498882	19.48	101.325	2020-08-26	6393	I	2.0	22.0	NA
2020-08-27_5099_I_2.0	2020-08-27 11:15:00	4059.01343014872	6.84908648030862	19.54	101.325	2020-08-27	5099	I	2.0	4.0	NA
2020-08-27_5086_I_1.0	2020-08-27 11:22:00	4254.12116611519	7.08269791269253	19.54	101.325	2020-08-27	5086	I	1.0	5.0	NA
2020-08-27_5078_I_2.0	2020-08-27 11:38:00	4181.87035382165	7.00771494648279	18.42	101.325	2020-08-27	5078	I	2.0	7.0	NA
2020-08-27_5091_I_1.0	2020-08-27 11:51:00	3590.56051864223	6.12275141234114	18.42	101.325	2020-08-27	5091	I	1.0	8.0	dead
2020-08-27_5092_I_1.0	2020-08-27 12:34:00	4166.37030215898	6.99159383018701	17.62	101.325	2020-08-27	5092	I	1.0	12.0	NA
2020-09-21_3589_U_6	2020-09-21 12:12:00	4624.12283368048	7.59316443927449	16.91	101.325	2020-09-21	3589	U	6	0.0	check start time
2020-09-21_3564_U_5	2020-09-21 12:26:00	4676.96723518851	7.65347706433607	16.91	101.325	2020-09-21	3564	U	5	1.0	NA
2020-09-21_1133_U_6	2020-09-21 12:46:00	3713.39170212973	6.32146798744066	17.06	101.325	2020-09-21	1133	U	6	3.0	NA
2020-09-21_3533_U_5_1	2020-09-21 13:07:00	4353.96702606213	7.03534701257658	17.06	101.325	2020-09-21	3533	U	5	5.0	NA
2020-09-21_1134_U_6	2020-09-21 13:30:00	4217.03159311322	7.02028891629288	17.06	101.325	2020-09-21	1134	U	6	6.0	NA
2020-09-21_3533_U_5_2	2020-09-21 13:44:00	4353.96702606213	7.03534701257658	16.64	101.325	2020-09-21	3533	U	5	7.0	NA
2020-09-21_3359_U_6	2020-09-21 14:53:00	3628.87224105275	6.18351923903952	14.54	101.325	2020-09-21	3359	U	6	11.0	NA
2020-09-21_3325_U_5	2020-09-21 15:04:00	4580.84510547397	7.53635880479937	14.54	101.325	2020-09-21	3325	U	5	12.0	NA
2020-09-21_3355_U_6	2020-09-21 15:16:00	3561.46428140213	6.08036960083357	14.54	101.325	2020-09-21	3355	U	6	13.0	NA
2020-09-21_3354_U_5	2020-09-21 15:33:00	4873.58989120177	7.91298608770681	12.03	101.325	2020-09-21	3354	U	5	14.0	NA
2020-09-21_1550_U_6	2020-09-21 15:52:00	3916.36336671817	6.52016664844483	12.03	101.325	2020-09-21	1550	U	6	16.0	NA
2020-09-22_4797_WD_5	2020-09-22 12:21:00	3901.49139160813	6.61772902457174	16.95	101.325	2020-09-22	4797	WD	5	8.0	NA
2020-09-22_4190_WS_6	2020-09-22 12:49:00	3019.1975158446	5.20900059299199	16.95	101.325	2020-09-22	4190	WS	6	11.0	NA
2020-09-22_4181_WD_5	2020-09-22 13:03:00	3152.89765131061	5.42371128151215	16.95	101.325	2020-09-22	4181	WD	5	12.0	NA
2020-09-22_4103_WD_6	2020-09-22 13:17:00	4034.2831198022	6.81252970324067	16.95	101.325	2020-09-22	4103	WD	6	13.0	NA
2020-09-22_4295_WD_5	2020-09-22 14:34:00	4059.01343014872	6.84908648030862	17.15	101.325	2020-09-22	4295	WD	5	15.0	NA
2020-09-22_1926_WS_5	2020-09-22 15:33:00	4207.57064776829	7.01270387390806	14.8	101.325	2020-09-22	1926	WS	5	18.0	NA
2020-09-22_1637_WS_6	2020-09-22 15:57:00	4188.24405285124	7.02390266889982	14.8	101.325	2020-09-22	1637	WS	6	20.0	NA
2020-09-22_1640_WD_5	2020-09-22 16:10:00	4224.73024125615	7.05767086708563	14.8	101.325	2020-09-22	1640	WD	5	21.0	NA
2020-09-22_1641_WD_6	2020-09-22 16:24:00	4219.11608041385	7.03830052239338	14.8	101.325	2020-09-22	1641	WD	6	22.0	NA
2020-09-22_1830_WD_5	2020-09-22 16:41:00	4148.44755794463	6.97118856352775	14.09	101.325	2020-09-22	1830	WD	5	23.0	NA
2020-09-23_5078_I_5	2020-09-23 11:24:00	4181.87035382165	7.00771494648279	23.14	101.325	2020-09-23	5078	I	5	2.0	NA
