"tree_id","species","x","y","dbh_m","BasalArea_m2","mean_flux_nmol","mean_flux_mg","mean_moisture"
1786,"KALA",-72.1289988918228,41.9896906771136,0.02,0.000314159265358979,0.0289628214557026,0.0400382043803633,21.3901900417923
1787,"PIST",-72.1288176269892,41.9896313029184,0.02,0.000314159265358979,0.0282278291536403,0.0390221510219924,18.9687250133391
1789,"",-72.1288950099587,41.9896469251888,0.015,0.000176714586764426,0.028277881910971,0.0390913439537263,19.9378938074895
1790,"KALA",-72.1299224618729,41.9903861309879,0.014,0.0001539380400259,0.0294871586748647,0.040763048152133,22.5146028853237
1791,"PIST",-72.1287930266353,41.9896417763689,0.016,0.000201061929829747,0.0281764086262147,0.0389510672848792,18.7199100228884
1793,"KALA",-72.1299955905216,41.9905180839655,0.012,0.000113097335529233,0.032273766383539,0.0446152546486043,25.7009422284346
1794,"PIST",-72.1288455346781,41.989705277286,0.017,0.000226980069221863,0.028209016097827,0.038996143853636,19.8857114716219
1795,"PIST",-72.1289421857924,41.9896759387676,0.014,0.0001539380400259,0.0283966096526735,0.0392554731838559,20.4094326205509
1796,"PIST",-72.1289058750095,41.9896529153299,0.017,0.000226980069221863,0.028277881910971,0.0390913439537263,19.9378938074895
1797,"PIST",-72.1289013236838,41.9896824543245,0.02,0.000314159265358979,0.0282822626672123,0.0390973999111544,20.1606176301001
1798,"PIST",-72.1289070665824,41.9896530715163,0.015,0.000176714586764426,0.028277881910971,0.0390913439537263,19.9378938074895
1799,"KALA",-72.1295594374192,41.9902746266489,0.012,0.000113097335529233,0.0289488044532905,0.0400188272762288,21.2044949561684
1800,"PIST",-72.1288312118132,41.9895481560617,0.016,0.000201061929829747,0.0282226019268261,0.0390149249036444,18.3266447137222
1801,"QURU",-72.1300234515688,41.9903126134869,0.33,0.0855298599939821,0.0363793901393488,0.0502908689286358,29.1087184717639
1802,"PIST",-72.1287149919556,41.9894890887139,0.068,0.0036316811075498,0.0282226019268261,0.0390149249036444,18.399005999489
1803,"BEAL",-72.1299541106489,41.9901957680946,0.252,0.0498759249683915,0.0289700866498054,0.040048247784691,21.4732354531155
1804,"ACRU",-72.1300297579185,41.9903015684673,0.367,0.105784493229839,0.0363793901393488,0.0502908689286358,29.1087184717639
1805,"PIST",-72.1286340439154,41.9895350965464,0.079,0.00490166993776348,0.028258733175252,0.0390648727414684,20.0352287202951
1806,"PIST",-72.1286491140489,41.9895388983152,0.072,0.00407150407905237,0.0281157060775221,0.0388671520815666,19.5804557893688
1807,"PIST",-72.128662851736,41.9895379594304,0.089,0.00622113885227119,0.0281157060775221,0.0388671520815666,19.5804557893688
1808,"PIST",-72.128714430799,41.989486275561,0.099,0.00769768739945839,0.0282226019268261,0.0390149249036444,18.399005999489
1809,"PIST",-72.128649882988,41.9895253011159,0.066,0.00342119439975928,0.0281157060775221,0.0388671520815666,19.5804557893688
1810,"TSCA",-72.13019433808,41.9903277049374,0.206,0.0333291564619341,0.039826556832631,0.0550562321654291,34.770162968419
1811,"TSCA",-72.1300160946059,41.9903280867924,0.373,0.109271661075324,0.0353393009042471,0.0488530495700312,28.2668376677048
1812,"TSCA",-72.1299542542933,41.9902158772536,0.469,0.172756965419066,0.0291477115646588,0.0402937964669844,21.7656396444113
1813,"PIST",-72.1287006931237,41.989487214452,0.073,0.004185386812745,0.0282226019268261,0.0390149249036444,18.399005999489
1814,"KALA",-72.1302592423637,41.990323426716,0.023,0.00041547562843725,0.0368909052754863,0.0509979874528323,29.7496047415138
1815,"PIST",-72.128648342756,41.9895369708166,0.091,0.00650388219109427,0.0281157060775221,0.0388671520815666,19.5804557893688
