Section Id,Quadrat,Sub_Quadrat,Tag,Stem_Tag,Species_Code,PX,PY,DBH,Status,POM,Codes,Notes,Secondary,Latitude,Longitude
,703,b,1738,,KALA,63.8,150.7,1.4,LI,1.3,M,,FALSE,41.99044605,-72.12984313
,307,c,1762,,PIST,156.1,78.1,1.4,LI,1.3,M,,FALSE,41.98965891,-72.12889585
,307,d,1779,,PIST,157.5,65.1,1.4,LI,1.3,M,,FALSE,41.98954159,-72.12890649
,307,c,1783,,PIST,155.6,75.7,1.4,,,M,,FALSE,41.98963843,-72.12890685
,702,d,1790,,KALA,58.5,143,1.4,LI,1.3,M,,FALSE,41.99038613,-72.12992246
,307,c,1795,,PIST,152,79.3,1.4,LI,1.3,M,,FALSE,41.98967594,-72.12894219
,308,c,2020,,PIST,178.1,72.2,1.4,LI,,M,,FALSE,41.98957229,-72.12864611
,206,d,2042,,BELE,138.6,40.3,1.4,LI,,,,FALSE,41.98935146,-72.12918381
,308,c,2100,,PIST,172.9,76.2,1.4,LI,,M,,FALSE,41.98961584,-72.12869966
,308,c,2104,,PIST,179.2,72.4,1.4,LI,,,,FALSE,41.98957235,-72.12863258
,207,d,2138,,PIST,151.7,44,1.4,LI,1.3,M,,FALSE,41.98936377,-72.12901994
,308,b,2229,,PIST,160.4,78.4,1.4,LI,,M,,FALSE,41.98965485,-72.12884398
,204,b,2262,,BELE,85.4,53.5,1.4,LI,,,,FALSE,41.98955146,-72.12978999
,104,d,2297,,PIST,92.3,29.5,1.4,LI,1.3,M,,FALSE,41.98932812,-72.1297582
,204,c,2298,,BELE,91.5,54.4,1.4,LI,,,,FALSE,41.9895499,-72.12971541
,204,a,2310,,KALA,86.2,48.8,1.4,LI,1.3,M,,FALSE,41.98950858,-72.12979033
,600,a,2326,,KALA,1.1,125.4,1.4,LI,1.3,M,,FALSE,41.9903199,-72.13064342
,308,b,2337,,PIST,169.3,71.2,1.4,LI,,M,,FALSE,41.98957718,-72.12875306
,104,d,2353,,BELE,92.3,24.4,1.4,LI,1.3,M,,FALSE,41.98928295,-72.12976891
,304,b,2378,,KALA,87.9,76.3,1.4,LI,1.3,M,,FALSE,41.98974948,-72.12971229
,204,a,2422,,PIST,84.1,45.8,1.4,LI,1.3,M,,FALSE,41.98948529,-72.12982166
,308,b,2432,,PIST,169.4,71.1,1.4,LI,,M,,FALSE,41.98957614,-72.12875208
,206,d,2451,,TSCA,139,44.6,1.4,LI,1.3,M,,FALSE,41.98938892,-72.12917001
,204,b,2472,,KALA,85.6,58,1.4,LI,1.4,M,,FALSE,41.989591,-72.12977815
,308,c,2507,,PIST,179.9,75,1.4,LI,,M,,FALSE,41.98959428,-72.12861877
,207,d,2515,,BELE,154,42.7,1.4,LI,1.3,M,,FALSE,41.98934867,-72.12899526
,308,d,2522,,PIST,174.9,64.3,1.4,LI,,,,FALSE,41.98950732,-72.12870084
,207,c,2545,,PIST,157.1,54.2,1.4,LI,,,,FALSE,41.98944567,-72.12893416
,308,a,2559,,BELE,163.3,68,1.4,LI,,,,FALSE,41.98955821,-72.12883128
,600,a,2565,,KALA,0.2,125.8,1.4,LI,1.3,M,,TRUE,41.99032485,-72.1306533
,308,c,2602,,BELE,178.3,71.5,1.4,LI,,,,FALSE,41.98956578,-72.12864519
,308,d,2609,,BELE,175.1,64.3,1.4,LI,,,,FALSE,41.98950701,-72.12869845
,308,b,2664,,PIST,168.3,76.4,1.4,LI,,M,,FALSE,41.9896248,-72.12875405
,207,c,2670,,BELE,153.5,58.7,1.4,LI,,,,FALSE,41.98949115,-72.1289676
,104,b,2707,,KALA,87.5,37.6,1.4,LI,1.3,M,,FALSE,41.98940736,-72.12979837
,104,d,2708,,KALA,93.8,22.2,1.4,LI,1.3,M,,FALSE,41.98926113,-72.12975566
,308,d,2724,,PIST,160.4,77.2,1.4,LI,1.3,M,,FALSE,41.98964422,-72.12884651
,104,a,2736,,KALA,83.3,21.9,1.4,LI,1.3,M,,FALSE,41.98927487,-72.12988141
,204,b,2740,,TSCA,84.5,54.4,1.4,LI,,,,FALSE,41.98956083,-72.12979882
,204,b,2759,,KALA,84.3,52.5,1.4,LI,,,,FALSE,41.98954432,-72.1298052
,104,a,2814,,PIST,84.5,23.9,1.4,LI,1.3,M,,FALSE,41.98929071,-72.12986291
,104,b,2815,,KALA,83.2,39.4,1.4,LI,1.3,M,,FALSE,41.98943001,-72.12984583
,104,b,2853,,KALA,87.9,35.1,1.4,LI,1.3,M,,FALSE,41.98938459,-72.12979886
,204,b,2863,,KALA,88.9,51.6,1.4,LI,,,,FALSE,41.98952916,-72.12975227
,204,a,2871,,KALA,87.2,48.4,1.4,LI,1.3,M,,FALSE,41.98950348,-72.12977925
,104,a,2921,,PIST,83.8,23.1,1.4,LI,1.3,M,,FALSE,41.98928472,-72.12987293
,308,a,2926,,PIST,165.4,64.2,1.4,LI,,,,FALSE,41.98952128,-72.12881425
,308,c,2928,,PIST,179.6,77.1,1.4,LI,,M,,FALSE,41.98961335,-72.12861793
,204,a,2929,,BELE,89.9,49.8,1.4,LI,,,,FALSE,41.98951166,-72.12974414
,204,a,2952,,PIST,81.6,41.6,1.4,LI,,,,FALSE,41.989452,-72.12986027
,204,d,2960,,BELE,94.3,49.1,1.4,LI,1.3,M,,FALSE,41.98949859,-72.12969318
,204,b,2976,,KALA,84.9,52.3,1.4,LI,,,,FALSE,41.98954161,-72.12979847
15,4,d,3179,,KALA,98.3,9.9,1.4,LI,1.3,M,,FALSE,41.98914516,-72.12972789
21,4,c,3187,,KALA,96.3,18.9,1.4,LI,1.3,M,,FALSE,41.989228,-72.12973281
10,4,c,3201,,KALA,91.5,19.4,1.4,LI,1.3,M,,FALSE,41.98923992,-72.12978895
,4,d,3608,,,92.4,0.4,1.4,LI,1.3,M,,FALSE,41.98907024,-72.12981815
,4,b,3609,,KALA,81.9,10.8,1.4,LI,1.3,M,,FALSE,41.98917875,-72.12992141
,5,b,3610,,BELE,106.6,11.7,1.4,LI,1.3,M,,FALSE,41.98914814,-72.12962521
