"pathway","p","t","FDR","description","gene","compartment"
"PWY0-1241",NA,NA,NA,"ADP-L-glycero-&beta;-D-manno-heptose biosynthesis","mmoX","Sapwood"
"PWY0-1261",NA,NA,NA,"anhydromuropeptides recycling","mmoX","Sapwood"
"PWY0-1277",NA,NA,NA,"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","mmoX","Sapwood"
"PWY0-1296",NA,NA,NA,"purine ribonucleosides degradation","mmoX","Sapwood"
"PWY0-1297",NA,NA,NA,"superpathway of purine deoxyribonucleosides degradation","mmoX","Sapwood"
"PWY0-1298",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleosides degradation","mmoX","Sapwood"
"PWY0-1319",NA,NA,NA,"CDP-diacylglycerol biosynthesis II","mmoX","Sapwood"
"PWY0-1338",NA,NA,NA,"polymyxin resistance","mmoX","Sapwood"
"PWY0-1415",NA,NA,NA,"superpathway of heme biosynthesis from uroporphyrinogen-III","mmoX","Sapwood"
"PWY0-1479",NA,NA,NA,"tRNA processing","mmoX","Sapwood"
"PWY0-1533",NA,NA,NA,"methylphosphonate degradation I","mmoX","Sapwood"
"PWY0-1586",NA,NA,NA,"peptidoglycan maturation (meso-diaminopimelate containing)","mmoX","Sapwood"
"PWY0-162",NA,NA,NA,"superpathway of pyrimidine ribonucleotides de novo biosynthesis","mmoX","Sapwood"
"PWY0-166",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","mmoX","Sapwood"
"PWY0-321",NA,NA,NA,"phenylacetate degradation I (aerobic)","mmoX","Sapwood"
"PWY0-41",NA,NA,NA,"allantoin degradation IV (anaerobic)","mmoX","Sapwood"
"PWY0-42",NA,NA,NA,"2-methylcitrate cycle I","mmoX","Sapwood"
"PWY0-781",NA,NA,NA,"aspartate superpathway","mmoX","Sapwood"
"PWY0-845",NA,NA,NA,"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","mmoX","Sapwood"
"PWY0-862",NA,NA,NA,"(5Z)-dodec-5-enoate biosynthesis","mmoX","Sapwood"
"PWY1G-0",NA,NA,NA,"mycothiol biosynthesis","mmoX","Sapwood"
"PWY490-3",NA,NA,NA,"nitrate reduction VI (assimilatory)","mmoX","Sapwood"
"PWY4FS-7",NA,NA,NA,"phosphatidylglycerol biosynthesis I (plastidic)","mmoX","Sapwood"
"PWY4FS-8",NA,NA,NA,"phosphatidylglycerol biosynthesis II (non-plastidic)","mmoX","Sapwood"
"PWYG-321",NA,NA,NA,"mycolate biosynthesis","mmoX","Sapwood"
"PYRIDNUCSAL-PWY",NA,NA,NA,"NAD salvage pathway I","mmoX","Sapwood"
"PYRIDNUCSYN-PWY",NA,NA,NA,"NAD biosynthesis I (from aspartate)","mmoX","Sapwood"
"PYRIDOXSYN-PWY",NA,NA,NA,"pyridoxal 5'-phosphate biosynthesis I","mmoX","Sapwood"
"REDCITCYC",NA,NA,NA,"TCA cycle VIII (helicobacter)","mmoX","Sapwood"
"RHAMCAT-PWY",NA,NA,NA,"L-rhamnose degradation I","mmoX","Sapwood"
"RIBOSYN2-PWY",NA,NA,NA,"flavin biosynthesis I (bacteria and plants)","mmoX","Sapwood"
"RUMP-PWY",NA,NA,NA,"formaldehyde oxidation I","mmoX","Sapwood"
"SALVADEHYPOX-PWY",NA,NA,NA,"adenosine nucleotides degradation II","mmoX","Sapwood"
"SER-GLYSYN-PWY",NA,NA,NA,"superpathway of L-serine and glycine biosynthesis I","mmoX","Sapwood"
"SO4ASSIM-PWY",NA,NA,NA,"sulfate reduction I (assimilatory)","mmoX","Sapwood"
"SUCSYN-PWY",NA,NA,NA,"sucrose biosynthesis I (from photosynthesis)","mmoX","Sapwood"
"SULFATE-CYS-PWY",NA,NA,NA,"superpathway of sulfate assimilation and cysteine biosynthesis","mmoX","Sapwood"
"TCA",NA,NA,NA,"TCA cycle I (prokaryotic)","mmoX","Sapwood"
"TCA-GLYOX-BYPASS",NA,NA,NA,"superpathway of glyoxylate bypass and TCA","mmoX","Sapwood"
"TEICHOICACID-PWY",NA,NA,NA,"teichoic acid (poly-glycerol) biosynthesis","mmoX","Sapwood"
"THISYN-PWY",NA,NA,NA,"superpathway of thiamin diphosphate biosynthesis I","mmoX","Sapwood"
"THRESYN-PWY",NA,NA,NA,"superpathway of L-threonine biosynthesis","mmoX","Sapwood"
"TRNA-CHARGING-PWY",NA,NA,NA,"tRNA charging","mmoX","Sapwood"
"TRPSYN-PWY",NA,NA,NA,"L-tryptophan biosynthesis","mmoX","Sapwood"
"TYRFUMCAT-PWY",NA,NA,NA,"L-tyrosine degradation I","mmoX","Sapwood"
"UBISYN-PWY",NA,NA,NA,"superpathway of ubiquinol-8 biosynthesis (prokaryotic)","mmoX","Sapwood"
"UDPNAGSYN-PWY",NA,NA,NA,"UDP-N-acetyl-D-glucosamine biosynthesis I","mmoX","Sapwood"
"VALSYN-PWY",NA,NA,NA,"L-valine biosynthesis","mmoX","Sapwood"
"GALLATE-DEGRADATION-II-PWY",NA,NA,NA,"gallate degradation I","mmoX","Sapwood"
"PWY-1422",NA,NA,NA,"vitamin E biosynthesis (tocopherols)","mmoX","Sapwood"
"PWY-2941",NA,NA,NA,"L-lysine biosynthesis II","mmoX","Sapwood"
"PWY-5198",NA,NA,NA,"factor 420 biosynthesis","mmoX","Sapwood"
"PWY-6338",NA,NA,NA,"superpathway of vanillin and vanillate degradation","mmoX","Sapwood"
"PWY-6906",NA,NA,NA,"chitin derivatives degradation","mmoX","Sapwood"
"PWY-6992",NA,NA,NA,"1,5-anhydrofructose degradation","mmoX","Sapwood"
"PWY-7097",NA,NA,NA,"vanillin and vanillate degradation I","mmoX","Sapwood"
"PWY-7098",NA,NA,NA,"vanillin and vanillate degradation II","mmoX","Sapwood"
"PWY-722",NA,NA,NA,"nicotinate degradation I","mmoX","Sapwood"
"CENTFERM-PWY",NA,NA,NA,"pyruvate fermentation to butanoate","mmoX","Sapwood"
"CODH-PWY",NA,NA,NA,"reductive acetyl coenzyme A pathway","mmoX","Sapwood"
"METH-ACETATE-PWY",NA,NA,NA,"methanogenesis from acetate","mmoX","Sapwood"
"METHANOGENESIS-PWY",NA,NA,NA,"methanogenesis from H2 and CO2","mmoX","Sapwood"
"P162-PWY",NA,NA,NA,"L-glutamate degradation V (via hydroxyglutarate)","mmoX","Sapwood"
"P241-PWY",NA,NA,NA,"coenzyme B biosynthesis","mmoX","Sapwood"
"P381-PWY",NA,NA,NA,"adenosylcobalamin biosynthesis II (late cobalt incorporation)","mmoX","Sapwood"
"PWY-5177",NA,NA,NA,"glutaryl-CoA degradation","mmoX","Sapwood"
"PWY-5507",NA,NA,NA,"adenosylcobalamin biosynthesis I (early cobalt insertion)","mmoX","Sapwood"
"PWY-5647",NA,NA,NA,"2-nitrobenzoate degradation I","mmoX","Sapwood"
"PWY-5655",NA,NA,NA,"L-tryptophan degradation IX","mmoX","Sapwood"
"PWY-5677",NA,NA,NA,"succinate fermentation to butanoate","mmoX","Sapwood"
"PWY-6107",NA,NA,NA,"chlorosalicylate degradation","mmoX","Sapwood"
"PWY-6141",NA,NA,NA,"archaetidylserine and archaetidylethanolamine biosynthesis","mmoX","Sapwood"
"PWY-6148",NA,NA,NA,"tetrahydromethanopterin biosynthesis","mmoX","Sapwood"
"PWY-6165",NA,NA,NA,"chorismate biosynthesis II (archaea)","mmoX","Sapwood"
"PWY-6167",NA,NA,NA,"flavin biosynthesis II (archaea)","mmoX","Sapwood"
"PWY-6174",NA,NA,NA,"mevalonate pathway II (archaea)","mmoX","Sapwood"
"PWY-6210",NA,NA,NA,"2-aminophenol degradation","mmoX","Sapwood"
"PWY-6349",NA,NA,NA,"CDP-archaeol biosynthesis","mmoX","Sapwood"
"PWY-6350",NA,NA,NA,"archaetidylinositol biosynthesis","mmoX","Sapwood"
"PWY-6505",NA,NA,NA,"L-tryptophan degradation XII (Geobacillus)","mmoX","Sapwood"
"PWY-6590",NA,NA,NA,"superpathway of Clostridium acetobutylicum acidogenic fermentation","mmoX","Sapwood"
"PWY-6654",NA,NA,NA,"phosphopantothenate biosynthesis III","mmoX","Sapwood"
"PWY-6749",NA,NA,NA,"CMP-legionaminate biosynthesis I","mmoX","Sapwood"
"PWY-7013",NA,NA,NA,"L-1,2-propanediol degradation","mmoX","Sapwood"
"PWY-7198",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis IV","mmoX","Sapwood"
"PWY-7210",NA,NA,NA,"pyrimidine deoxyribonucleotides biosynthesis from CTP","mmoX","Sapwood"
"PWY-7286",NA,NA,NA,"7-(3-amino-3-carboxypropyl)-wyosine biosynthesis","mmoX","Sapwood"
"PWY-7377",NA,NA,NA,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","mmoX","Sapwood"
"PWY-7391",NA,NA,NA,"isoprene biosynthesis II (engineered)","mmoX","Sapwood"
"PWY-7456",NA,NA,NA,"mannan degradation","mmoX","Sapwood"
"THREOCAT-PWY",NA,NA,NA,"superpathway of L-threonine metabolism","mmoX","Sapwood"
"VALDEG-PWY",NA,NA,NA,"L-valine degradation I","mmoX","Sapwood"
"LIPASYN-PWY",NA,NA,NA,"phospholipases","mmoX","Sapwood"
"PWY-1361",NA,NA,NA,"benzoyl-CoA degradation I (aerobic)","mmoX","Sapwood"
"PWY-1541",NA,NA,NA,"superpathway of taurine degradation","mmoX","Sapwood"
"PWY-2221",NA,NA,NA,"Entner-Doudoroff pathway III (semi-phosphorylative)","mmoX","Sapwood"
"PWY-5183",NA,NA,NA,"superpathway of aerobic toluene degradation","mmoX","Sapwood"
"PWY-5656",NA,NA,NA,"mannosylglycerate biosynthesis I","mmoX","Sapwood"
"PWY-6339",NA,NA,NA,"syringate degradation","mmoX","Sapwood"
"PWY-6404",NA,NA,NA,"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis","mmoX","Sapwood"
"PWY-6731",NA,NA,NA,"starch degradation III","mmoX","Sapwood"
"PWY-6948",NA,NA,NA,"sitosterol degradation to androstenedione","mmoX","Sapwood"
"PWY-6957",NA,NA,NA,"mandelate degradation to acetyl-CoA","mmoX","Sapwood"
"PWY-7084",NA,NA,NA,"nitrifier denitrification","mmoX","Sapwood"
"PWY-4361",NA,NA,NA,"S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation","mmoX","Sapwood"
"PWY-7527",NA,NA,NA,"L-methionine salvage cycle III","mmoX","Sapwood"
"PWY-622",NA,NA,NA,"starch biosynthesis","mmoX","Sapwood"
"PWY-5265",NA,NA,NA,"peptidoglycan biosynthesis II (staphylococci)","mmoX","Sapwood"
"PWY-5743",NA,NA,NA,"3-hydroxypropanoate cycle","mmoX","Sapwood"
"PWY-5744",NA,NA,NA,"glyoxylate assimilation","mmoX","Sapwood"
"PWY-7024",NA,NA,NA,"superpathway of the 3-hydroxypropanoate cycle","mmoX","Sapwood"
"PWY-3941",NA,NA,NA,"&beta;-alanine biosynthesis II","mmoX","Sapwood"
"PWY-6572",NA,NA,NA,"chondroitin sulfate degradation I (bacterial)","mmoX","Sapwood"
