"compartment","taxon_subset","gene_metric","rho","p","sig","abundance_type"
"Organic Soil","Methylocystaceae","% pmoA",NA,NA,"","Relative abundance (%)"
"Organic Soil","Beijerinckiaceae","pmoA",0.007191346952364,0.938129311101271,"","Relative abundance (%)"
"Organic Soil","Beijerinckiaceae","mmoX",-0.278891744476668,0.00213044155381544,"**","Relative abundance (%)"
"Organic Soil","Beijerinckiaceae","pmoA + mmoX",0.00228478060440477,0.980325392550299,"","Relative abundance (%)"
"Organic Soil","Beijerinckiaceae","% pmoA",0.370248696943792,3.40427768837329e-05,"***","Relative abundance (%)"
"Organic Soil","Type I Gamma","pmoA",-3.19829490465325e-05,0.999724562212191,"","Relative abundance (%)"
"Organic Soil","Type I Gamma","mmoX",0.114243093994214,0.21603309867001,"","Relative abundance (%)"
"Organic Soil","Type I Gamma","pmoA + mmoX",-3.19829490465325e-05,0.999724562212191,"","Relative abundance (%)"
"Organic Soil","Type I Gamma","% pmoA",-0.107494691745396,0.244575469096056,"","Relative abundance (%)"
"Organic Soil","Type II Alpha","pmoA",0.007191346952364,0.938129311101271,"","Relative abundance (%)"
"Organic Soil","Type II Alpha","mmoX",-0.278891744476668,0.00213044155381544,"**","Relative abundance (%)"
"Organic Soil","Type II Alpha","pmoA + mmoX",0.00228478060440477,0.980325392550299,"","Relative abundance (%)"
"Organic Soil","Type II Alpha","% pmoA",0.370248696943792,3.40427768837329e-05,"***","Relative abundance (%)"
"Organic Soil","pMMO expected","pmoA",-0.33550522786827,0.000191470692327294,"***","Relative abundance (%)"
"Organic Soil","pMMO expected","mmoX",-0.490855453124464,1.44982934843741e-08,"***","Relative abundance (%)"
"Organic Soil","pMMO expected","pmoA + mmoX",-0.345407149351248,0.000119436051270171,"***","Relative abundance (%)"
"Organic Soil","pMMO expected","% pmoA",0.488506691647968,1.73838398785452e-08,"***","Relative abundance (%)"
"Organic Soil","sMMO only  Methylocella Methyloferula ","pmoA",NA,NA,"","Relative abundance (%)"
"Organic Soil","sMMO only  Methylocella Methyloferula ","mmoX",NA,NA,"","Relative abundance (%)"
"Organic Soil","sMMO only  Methylocella Methyloferula ","pmoA + mmoX",NA,NA,"","Relative abundance (%)"
"Organic Soil","sMMO only  Methylocella Methyloferula ","% pmoA",NA,NA,"","Relative abundance (%)"
