section_id,quadrat,sub_quadrat,tag,stem_tag,species_code,x_m,y_m,dbh_mm,status,pom,codes,notes,secondary,latitude,longitude
3,102,a,3313,NA,BELE,47.8,29.1,13.5,LI,1.3,M,Secondary to 3322,FALSE,41.98939408,-72.13028929
3,102,b,3314,NA,TSCA,47,39,35.2,LI,1.3,M,NA,FALSE,41.98948301,-72.13027802
NA,102,b,3315,NA,TSCA,43.3,32.2,23.3,LI,1.3,M,NA,FALSE,41.98942856,-72.13033639
6,102,a,3316,NA,TSCA,24,45.3,4322.2,LI,1.3,M,NA,FALSE,41.98957472,-72.13053884
7,102,a,3317,NA,TSCA,47.6,20.8,50.8,LI,1.3,M,NA,FALSE,41.98932088,-72.13030911
NA,103,a,3317,NA,TSCA,62,27.7,35,LI,1.3,M,NA,FALSE,41.9893595,-72.13012303
9,102,a,3318,NA,BEPA,47.1,25.1,26.4,LI,1.3,M,Kid,FALSE,41.98935974,-72.13030603
4,101,a,3319,NA,BELE,47.8,29.1,20.6,LI,1.3,NA,Secondary to 3322,FALSE,41.98939408,-72.13028929
1,102,a,3320,NA,TSCA,43,29,24.7,LI,1.3,M,NA,FALSE,41.98940069,-72.13034669
5,102,a,3321,NA,TSCA,47.5,25.3,22.7,LI,1.3,M,NA,FALSE,41.98936089,-72.13030085
2,102,a,3322,NA,BELE,47.8,29.1,24.6,LI,1.3,M,NA,FALSE,41.98939408,-72.13028929
NA,102,a,3323,NA,ACRU,42,28.8,32.2,LI,1.3,M,NA,FALSE,41.98940048,-72.13035903
2,102,b,3324,NA,TSCA,46.3,36.2,25.3,LI,1.3,M,NA,FALSE,41.9894593,-72.13029224
1,103,c,3325,NA,TSCA,71.6,39.9,46.1,LI,1.3,M,NA,FALSE,41.98945256,-72.129983
7,102,b,3326,NA,TSCA,47.8,31.3,27.9,LI,1.3,M,NA,FALSE,41.98941356,-72.13028466
6,102,b,3327,NA,TSCA,41.2,26.6,26.8,LI,1.3,M,NA,FALSE,41.98938224,-72.13037318
1,2,c,3328,NA,TSCA,54,35.7,36.5,LI,NA,M,NA,FALSE,41.98944285,-72.13020154
3,102,c,3329,NA,TSCA,56.7,39.2,40.4,LI,NA,M,NA,FALSE,41.98946963,-72.13016202
4,103,c,3330,NA,TSCA,73.6,35.9,20,LI,1.3,M,Secondary to 3291,FALSE,41.98941401,-72.12996757
NA,200,b,3331,NA,TSCA,6.4,50.6,20.2,LI,1.3,M,NA,FALSE,41.98964915,-72.13073742
NA,200,b,3332,NA,TSCA,4.7,55.1,8,LI,1.3,M,NA,FALSE,41.98969166,-72.13074823
NA,200,a,3333,NA,TSCA,9.8,48.9,13.3,LI,1.3,M,NA,FALSE,41.98962878,-72.13070048
13,103,b,3334,NA,TSCA,60.1,39.1,46.3,LI,1.3,M,NA,FALSE,41.98946343,-72.13012171
12,103,b,3335,NA,TSCA,60.7,36.3,43,LI,1.3,M,NA,FALSE,41.9894377,-72.13012045
2,103,d,3335,NA,TSCA,77.8,25.8,13.4,LI,1.3,M,NA,FALSE,41.989318,-72.12993875
11,103,b,3336,NA,TSCA,60.1,36.6,38.1,LI,1.3,M,NA,FALSE,41.98944129,-72.13012697
10,103,d,3337,NA,TSCA,75.5,32.1,37.3,LI,1.3,M,Secondary to 3338,FALSE,41.98937739,-72.12995292
9,103,d,3338,NA,TSCA,75.5,32.1,37.1,NA,NA,NA,NA,FALSE,41.98937739,-72.12995292
8,103,d,3339,NA,PIST,70.7,24.4,60.2,LI,1.3,M,NA,FALSE,41.98931669,-72.13002629
7,103,d,3340,NA,TSCA,71,28.4,25.5,LI,1.3,M,NA,FALSE,41.98935165,-72.13001431
4,103,d,3341,NA,ACRU,75.6,25.4,17.4,LI,1.3,M,NA,FALSE,41.98931789,-72.1299658
5,103,d,3342,NA,BELE,74.4,26.6,21.4,LI,1.3,M,NA,FALSE,41.98933039,-72.12997758
10,103,c,3343,NA,TSCA,76.8,31.9,21,LI,1.3,M,NA,FALSE,41.98937359,-72.12993785
NA,103,d,3344,NA,TSCA,79.8,29.9,17.1,LI,1.3,M,NA,FALSE,41.98935119,-72.1299063
NA,200,b,3346,NA,TSCA,0.9,51.5,22.8,LI,1.3,M,NA,FALSE,41.98966571,-72.13080107
7,103,c,3347,NA,TSCA,78.1,34,8.8,LI,1.3,M,Secondary to 3353,FALSE,41.98939015,-72.12991795
9,103,c,3348,NA,TSCA,77.5,33.5,27.1,LI,1.3,M,NA,FALSE,41.98938666,-72.12992615
3,103,d,3349,NA,TSCA,76.6,26.1,27.7,LI,1.3,M,NA,FALSE,41.98932253,-72.12995242
6,103,d,3350,NA,TSCA,75.7,28.1,40.1,LI,1.3,M,NA,FALSE,41.98934165,-72.12995894
12,103,c,3351,NA,TSCA,78.9,31.7,13,LI,1.3,M,NA,FALSE,41.98936853,-72.12991325
11,103,c,3352,NA,TSCA,78.8,32.3,21.9,LI,1.3,M,NA,FALSE,41.989374,-72.12991318
8,103,c,3353,NA,TSCA,78.1,34,22.4,LI,1.3,M,NA,FALSE,41.98939015,-72.12991795
6,103,c,3354,NA,PIST,75,33.9,58,LI,1.3,M,NA,FALSE,41.98939411,-72.12995509
1,102,b,3355,NA,ACRU,63.5,31.8,30.3,LI,1.3,M,NA,FALSE,41.98939347,-72.13009654
2,102,b,3356,NA,TSCA,62.4,30.2,24.4,LI,1.3,M,NA,FALSE,41.98938102,-72.13011301
4,103,b,3357,NA,TSCA,60.7,33.6,25.2,LI,1.3,M,NA,FALSE,41.98941379,-72.13012612
3,103,b,3358,NA,ACRU,61,30.8,28,LI,1.3,M,NA,FALSE,41.98938852,-72.13012843
1,103,d,3358,NA,TSCA,75.8,28.8,40.3,LI,1.3,M,NA,FALSE,41.98934769,-72.12995628
8,103,b,3359,NA,BELE,66.7,39.7,30.2,LI,1.3,M,NA,FALSE,41.98945844,-72.13004181
NA,200,a,3360,NA,TSCA,1.1,45.5,4.9,LI,1.3,M,NA,FALSE,41.98961226,-72.13081129
6,103,b,3361,NA,TSCA,64,37.7,21.3,LI,1.3,M,NA,FALSE,41.98944494,-72.13007818
NA,102,b,3362,NA,TSCA,67.5,31.1,17.2,LI,1.3,M,NA,FALSE,41.98938102,-72.13005035
1,103,a,3363,NA,TSCA,67,21.3,47.4,LI,1.3,M,NA,FALSE,41.98929501,-72.13007689
NA,200,b,3364,NA,TSCA,5.4,54.3,7.9,LI,1.3,M,NA,FALSE,41.98968348,-72.13074157
7,103,b,3365,NA,BELE,65.7,39.2,32.5,LI,1.3,M,NA,FALSE,41.98945557,-72.13005477
9,103,b,3366,NA,TSCA,68.3,38.1,13.1,LI,1.3,M,NA,FALSE,41.98944177,-72.1300261
NA,200,a,3368,NA,TSCA,0.1,45.6,34.8,LI,NA,M,NA,TRUE,41.9896147,-72.130823
10,103,b,3369,NA,TSCA,67.8,37,12.5,LI,1.3,M,NA,FALSE,41.98943281,-72.13003437
5,103,b,3370,NA,TSCA,64.8,34.7,33.1,LI,1.3,M,NA,FALSE,41.98941713,-72.13007495
NA,200,b,3372,NA,BEAL,8.6,48.5,34.4,LI,1.3,M,NA,FALSE,41.98962711,-72.13071562
NA,200,a,3373,NA,TSCA,5.5,44.9,12.3,LI,1.3,M,NA,FALSE,41.98960007,-72.13076013
NA,200,a,3375,NA,TSCA,0.2,46.4,37.4,LI,1.3,M,NA,FALSE,41.98962163,-72.13082013
NA,200,a,3376,NA,TSCA,7,42.5,28.1,LI,1.3,M,NA,FALSE,41.98957647,-72.13074729
NA,200,a,3377,NA,TSCA,7.1,44.2,13.6,LI,1.3,M,NA,FALSE,41.98959137,-72.13074253
NA,200,a,3378,NA,TSCA,2.7,48,22.5,LI,1.3,M,NA,FALSE,41.9896319,-72.13078698
NA,200,d,3379,NA,TSCA,10.4,43.4,40,LI,1.3,M,NA,FALSE,41.98957913,-72.13070489
NA,200,d,3380,NA,FRAM,11.8,49.7,14.5,LI,1.3,M,NA,FALSE,41.98963274,-72.13067497
NA,200,c,3381,NA,ACRU,12.8,55,48.5,LI,1.3,M,NA,FALSE,41.98967812,-72.13065192
NA,200,d,3382,NA,BELE,18.5,46.9,29.9,LI,1.3,M,NA,FALSE,41.98959748,-72.13060102
NA,200,d,3383,NA,TSCA,14.7,46,11.8,LI,1.3,M,NA,FALSE,41.98959545,-72.13064819
NA,200,c,3384,NA,TSCA,11.5,48.1,13.3,LI,1.3,M,NA,FALSE,41.98961904,-72.13068191
NA,200,d,3385,NA,TSCA,12.5,42.1,38.5,LI,1.3,M,NA,FALSE,41.98956434,-72.1306826
NA,200,d,3386,NA,TSCA,19,44.4,26.3,LI,1.3,M,NA,FALSE,41.98957456,-72.13060031
NA,200,d,3387,NA,PRSE,19.1,43.5,28.8,LI,1.3,M,NA,FALSE,41.98956643,-72.13060101
NA,200,d,3388,NA,TSCA,10.7,45.4,16.2,LI,1.3,M,NA,FALSE,41.98959638,-72.13069711
NA,200,b,3389,NA,TSCA,8.9,56.1,45.8,LI,1.3,M,NA,FALSE,41.98969396,-72.13069608
NA,201,c,3390,NA,TSCA,32.9,55.1,30.5,LI,NA,M,NA,FALSE,41.98964762,-72.1304122
NA,201,c,3391,NA,PRSE,32.3,53.8,26.9,LI,NA,M,NA,FALSE,41.98963704,-72.13042208
NA,201,c,3392,NA,TSCA,31.3,50.1,13.9,LI,NA,M,NA,FALSE,41.98960583,-72.13044177
NA,201,c,3393,NA,TSCA,39.5,56.8,25.6,LI,NA,M,NA,FALSE,41.98965237,-72.13032999
NA,201,c,3394,NA,TSCA,38.8,59.1,18.4,LI,NA,M,NA,FALSE,41.98967383,-72.13033349
NA,200,b,3395,NA,TSCA,7.9,57,26.5,LI,1.3,M,NA,FALSE,41.98970349,-72.1307061
NA,201,c,3396,NA,TSCA,32.7,59.3,16.5,LI,NA,M,NA,FALSE,41.98968513,-72.13040576
NA,200,b,3397,NA,TSCA,NA,NA,45.3,LI,1.3,M,NA,FALSE,#DIV/0!,#DIV/0!
NA,200,b,3397,NA,TSCA,7,56.6,44.6,LI,1.3,M,NA,FALSE,41.98970135,-72.13071767
NA,201,c,3398,NA,TSCA,30.8,54.8,18.2,LI,NA,M,NA,FALSE,41.98964824,-72.13043786
NA,200,d,3399,NA,TSCA,15.9,41.1,28.2,LI,1.3,M,NA,FALSE,41.98955018,-72.13064419
NA,200,c,3400,NA,TSCA,11.4,51.1,10.5,LI,1.3,"M,L",NA,FALSE,41.98964577,-72.1306768
NA,200,b,3401,NA,TSCA,2.8,56.4,14.5,LI,1.3,M,NA,FALSE,41.98970614,-72.13076814
NA,201,b,3402,NA,TSCA,21.7,52.9,17.6,LI,1.3,"M,L",NA,FALSE,41.98964563,-72.13055028
NA,300,b,3403,NA,TSCA,2,78.9,26.1,LI,1.3,M,NA,FALSE,41.98990666,-72.13073039
NA,301,a,3404,NA,TSCA,29.2,65.9,32.5,LI,1.3,M,NA,FALSE,41.98974905,-72.1304336
NA,301,a,3404,NA,TSCA,29.2,65.9,32.5,LI,1.3,M,NA,FALSE,41.98974905,-72.1304336
NA,301,b,3405,NA,TSCA,23.1,75.9,25,LI,1.3,M,NA,FALSE,41.98984714,-72.13048527
NA,301,b,3405,NA,TSCA,23.1,75.9,25,LI,1.3,M,NA,FALSE,41.98984714,-72.13048527
NA,300,d,3406,NA,TSCA,18.6,65.8,7.4,LI,NA,NA,NA,FALSE,41.98976472,-72.13056012
NA,201,b,3407,NA,TSCA,24.5,43.5,19.5,LI,1.3,M,NA,FALSE,41.989558,-72.13053667
NA,303,a,3408,NA,TSCA,65.1,65.9,6.4,LI,1.3,M,NA,FALSE,41.98969298,-72.13000582
