Sample ID,Well,16S_per_ul,core_type,seq_id_raw,seq_id,Material
BBX7Outer,A09,120,Outer,BBX7,BBX7,Wood
AB1Outer,A10,911,Outer,AB1,AB1,Wood
AB5Outer,A11,109,Outer,AB5,AB5,Wood
WA101Outer,A12,17532,Outer,WA101,WA101,Wood
RM10Outer,B01,7643,Outer,RM10,RM10,Wood
RM304Outer,B02,1519,Outer,RM304,RM304,Wood
SM10Outer,B03,1657,Outer,SM10,SM10,Wood
SM5Outer,B04,408,Outer,SM5,SM5,Wood
YB11Outer,B05,240,Outer,YB11,YB11,Wood
None,B06,NA,None,NA,NA,Wood
None,B07,NA,None,NA,NA,Wood
BB6Outer,B08,529,Outer,BB6,BB6,Wood
PB1Outer,B09,13612,Outer,PB1,PB1,Wood
AB10Outer,B10,989,Outer,AB10,AB10,Wood
AB501Outer,B11,1160,Outer,AB501,AB501,Wood
WA102Outer90a,B12,236,er90a,WA102Out,WA102,Wood
None,C01,NA,None,NA,NA,Wood
RM4Outer,C02,1385,Outer,RM4,RM4,Wood
SM11Outer,C03,893,Outer,SM11,SM11,Wood
SM6Outer,C04,5707,Outer,SM6,SM6,Wood
YB11primeOuter,C05,166,Outer,YB11prime,YB11',Wood
None,C06,NA,None,NA,NA,Wood
None,C07,NA,None,NA,NA,Wood
BB7Outer,C08,1014,Outer,BB7,BB7,Wood
PB2Outer,C09,307,Outer,PB2,PB2,Wood
AB11Outer,C10,1044,Outer,AB11,AB11,Wood
AB6Outer,C11,1079,Outer,AB6,AB6,Wood
WA102Outer91a,C12,7408,NA,WA102Outer91a,WA102,Wood
RM2Outer,D01,4447,Outer,RM2,RM2,Wood
RM5Outer,D02,4614,Outer,RM5,RM5,Wood
SM12Outer,D03,1005,Outer,SM12,SM12,Wood
SM7Outer,D04,1323,Outer,SM7,SM7,Wood
None,D05,NA,None,NA,NA,Wood
None,D06,NA,None,NA,NA,Wood
None,D07,NA,None,NA,NA,Wood
BB8Outer,D08,298,Outer,BB8,BB8,Wood
