unique_id,date,tree_tag,species_code,species,dbh_cm,air_temp_C,soil_temp_C,stem_temp_C,vwc_mean_pct,chamber_id,chamber_area_m2,chamber_vol_L,chamber_temp_C,obs_length_s,CH4_best_flux_nmol_m2_s,CH4_model,CH4_quality,CH4_LM_r2,CH4_LM_pval,CO2_best_flux_nmol_m2_s,CO2_model,CO2_quality,bark_missing,visible_fungus,bole_damage,notes
20230621_3099_105030,2023-06-21,3099,QURU,red ok,48.9,18.000000000000004,13.2,14.8,10.066666666666666,D8,462.19,2.388644,18.000000000000004,180,0.01518962656768107,HM,AICc | Intercept,0.03352430340930801,0.00553584880708767,1.6847424249197889,HM,NA,1,1,NA,NA
20230621_3292_110000,2023-06-21,3292,BEPA,paper birch,35,18.111111111111107,13.6,14.7,10.733333333333334,D8,462.19,2.388644,18.111111111111107,180,0.0085306646653553,LM,HM.flux is NA,0.01592497610569343,0.03752854963507004,2.6544142959748425,HM,NA,1,1,NA,NA
20230621_3340_111200,2023-06-21,3340,ACRU,red maple,25.7,17.166666666666668,13.1,15.7,18.4,D8,462.19,2.388644,17.166666666666668,180,0.00808774743628937,LM,HM.flux is NA,0.02259314926946709,0.01314995897576848,0.7345663764358589,LM,RMSE | MAE | AICc,1,1,NA,NA
20230621_3342_111930,2023-06-21,3342,BELE,black birch,21.9,19.27777777777778,13.2,15.8,25.366666666666664,D8,462.19,2.388644,19.27777777777778,240,0.01742145227197782,LM,g-fact. > 2 | Intercept,0.1469097928377694,8.117489741286998e-11,1.7064317731257912,HM,NA,2,1,NA,NA
20230621_3339_112900,2023-06-21,3339,PIST,white pine,62.8,18.5,13.2,16.2,17.966666666666665,D8,462.19,2.388644,18.5,300,0.05519305838848389,HM,Intercept,0.518257742215092,7.536342920903173e-47,1.9910442733525848,HM,NA,1,1,NA,NA
20230621_3101_113700,2023-06-21,3101,PIST,white pine,47.4,19.833333333333332,12.9,16,21.033333333333335,D8,462.19,2.388644,19.833333333333332,240,0.03377909319188113,HM,AICc | Intercept,0.2567217485180501,8.098326522676279e-17,1.3453805013945073,HM,NA,1,1,NA,NA
20230621_3122_105000,2023-06-21,3122,TSCA,hemlock,49,19.27777777777778,13.6,16.4,16.933333333333334,D8,462.19,2.388644,19.27777777777778,180,0.01113964457642523,LM,HM.flux is NA,0.01456299035097563,0.05249058312739922,1.6922578266963109,HM,NA,1,1,NA,NA
20230621_3107_115800,2023-06-21,3107,BELE,black birch,18.4,17.88888888888889,13.2,16.4,14.6,B1,107.68,0.6169955555555556,17.88888888888889,180,-0.02027525089540472,HM,AICc | Intercept,0.03529287381396417,0.00317757707925948,0.8184063616076362,HM,Intercept (LM),Dead,NA,NA,NA
20230621_3102_120400,2023-06-21,3102,TSCA,hemlock,23.3,17.61111111111111,13.1,16.3,6.733333333333334,B1,107.68,0.6169955555555556,17.61111111111111,150,0.11516079779681394,HM,AICc | Intercept,0.6956162238421947,1.6537326106896881e-46,2.3102629965424897,HM,NA,2,1,NA,NA
20230621_untagged_121430,2023-06-21,untagged,QURU,red oak,32.4,18.111111111111107,14,17.1,11.4,D8,462.19,2.388644,18.111111111111107,180,0.01717616509898932,HM,AICc | Intercept,0.07393380301829655,3.7176651736873573e-5,0.6234636418657431,HM,NA,Dead,NA,NA,NA
20230621_3103_122100,2023-06-21,3103,TSCA,hemlock,27.9,17.83333333333333,13.7,16.1,15.2,D8,462.19,2.388644,17.83333333333333,300,0.01146855172923806,HM,AICc | Intercept,0.0404970457677849,0.00115187004911431,0.8520377202630884,HM,NA,1,1,NA,NA
20230621_3126_130830,2023-06-21,3126,TSCA,hemlock,27.5,20.33333333333333,13.1,17,17.966666666666665,D8,462.19,2.388644,20.33333333333333,180,0.01747226233821162,HM,AICc | Intercept,0.11894427232943028,5.553259408595871e-9,0.6962079344965293,HM,NA,1,1,NA,NA
20230621_3110_132215,2023-06-21,3110,TSCA,hemlock,44.4,19.222222222222214,13,17.2,12.933333333333335,D8,462.19,2.388644,19.222222222222214,180,-0.00600375058952282,HM,AICc | p-value | MDF | Intercept,0.00604315303336211,0.133357740988756,1.130411792462587,HM,NA,1,1,NA,NA
20230621_3123_133130,2023-06-21,3123,ACRU,red maple,20.9,18.88888888888889,13.1,16.4,21.666666666666668,B1,107.68,0.6169955555555556,18.88888888888889,330,0.01497979965654491,HM,AICc | Intercept,0.19587923602475776,1.4749546672379124e-22,1.6972520381609504,HM,NA,2,1,NA,NA
20230621_3127_134500,2023-06-21,3127,TSCA,hemlock,16.7,19.388888888888893,13.1,16.9,20.666666666666668,B1,107.68,0.6169955555555556,19.388888888888893,240,5.33182105224152e-4,LM,HM.flux is NA,-0.00376216234851134,0.8732420904801728,0.74292696606736075,HM,NA,1,1,NA,NA
20230621_3121_135215,2023-06-21,3121,TSCA,hemlock,13.9,19.333333333333332,12.8,16.8,15.433333333333332,B1,107.68,0.6169955555555556,19.333333333333332,180,0.03640794298480038,LM,g-fact. > 2 | Intercept,0.4528373225390221,1.7899532419467337e-45,1.292655054639236,HM,NA,1,1,NA,NA
20230621_3118_140045,2023-06-21,3118,TSCA,hemlock,19.5,19.333333333333332,12.8,17.5,15.433333333333332,B1,107.68,0.6169955555555556,19.333333333333332,255,0.02671777531823857,HM,AICc,0.14778689051794291,1.7653925524488265e-11,1.1102101935834456,HM,NA,1,1,NA,NA
20230621_3109_141015,2023-06-21,3109,TSCA,hemlock,37.9,19.61111111111111,12.7,18,25.666666666666668,D8,462.19,2.388644,19.61111111111111,180,0.03550288245632099,LM,g-fact. > 2 | Intercept,0.5162887976295969,3.277100131161867e-57,1.5228700009947969,HM,NA,1,1,NA,NA
20230621_3116_142100,2023-06-21,3116,QURU,red oak,44.2,19,13,17.1,26.866666666666664,D8,462.19,2.388644,19,120,0.02900513513624739,HM,AICc | Intercept,0.2919293091461822,3.688777903128499e-22,1.8608918708492073,HM,NA,1,1,NA,NA
20230621_3132_142845,2023-06-21,3132,TSCA,hemlock,46.6,16.5,13.3,18.4,11.033333333333331,D8,462.19,2.388644,16.5,180,0.06394110974201586,HM,AICc | Intercept,0.533939362219223,3.2370368720188945e-37,1.793706025073226,LM,RMSE | MAE | AICc,1,1,NA,NA
20230621_4778_103630,2023-06-21,4778,BEAL,yellow birch,24.7,17.61111111111111,12.9,15.6,22.433333333333337,D8,462.19,2.388644,17.61111111111111,240,0.01478324059865538,HM,AICc | Intercept,0.08324888849463263,5.6706259260693404e-6,1.7196716404850805,HM,NA,1,1,NA,NA
20230621_4789_105330,2023-06-21,4789,BEAL,yellow birch,39.9,18.666666666666664,13.1,16.2,10.3,D8,462.19,2.388644,18.666666666666664,180,0.00580670652359071,LM,HM.flux is NA,-0.005602132813731,0.5895823951476159,2.3245567830485534,LM,RMSE | MAE | SE | AICc,1,1,NA,NA
20230621_4773_110230,2023-06-21,4773,BEAL,yellow birch,32,17.333333333333332,13.2,16.5,36.03333333333334,D8,462.19,2.388644,17.333333333333332,180,0.02084696470755297,LM,g-fact. > 2 | Intercept,0.16890410462952754,2.3199096571124125e-12,0.902098179937644,HM,NA,1,1,NA,NA
20230621_4791_111430,2023-06-21,4791,TSCA,hemlock,45.4,18.555555555555557,13.4,17,17.8,D8,462.19,2.388644,18.555555555555557,210,0.00756288895681038,LM,HM.flux is NA,0.01149926444334947,0.07268628087425308,0.7474539343583988,HM,AICc,1,1,NA,NA
20230621_4146_113145,2023-06-21,4146,TSCA,hemlock,20.5,20.444444444444443,12.7,17.2,40.8,C4,213.35,1.2626016666666666,20.444444444444443,195,0.05879845872729308,HM,AICc | Intercept,0.563790943688808,1.7649024376728542e-55,2.348763863740708,HM,NA,1,1,NA,NA
20230621_4170_114215,2023-06-21,4170,BEAL,yellow birch,25.6,18.444444444444443,13.2,16.3,42.79999999999999,D8,462.19,2.388644,18.444444444444443,180,0.07180487684523601,LM,AICc | g-fact. > 2 | Intercept (HM),0.2297714902462974,1.2017246706844083e-6,1.7485072221286897,HM,NA,1,1,NA,NA
20230621_4195_120400,2023-06-21,4195,ACRU,red maple,49.5,20.222222222222225,13.8,18,10.4,D8,462.19,2.388644,20.222222222222225,240,0.10036906142362148,HM,AICc | Intercept,0.6806613152681626,1.8347681224163916e-44,2.0660382163161217,HM,NA,2,1,NA,NA
20230621_4780_121745,2023-06-21,4780,TSCA,hemlock,22,18.833333333333336,12.4,17.2,48.86666666666667,C4,213.35,1.2626016666666666,18.833333333333336,180,0.00685673771941974,LM,HM.flux is NA,0.0094908970733506,0.07522637359586061,0.9480244617546202,HM,NA,1,1,NA,NA
20230621_4257_123300,2023-06-21,4257,TSCA,hemlock,42.1,18.5,13,17.4,17.53333333333333,D8,462.19,2.388644,18.5,180,0.01063850536410412,HM,AICc | Intercept,0.09502830677039242,3.1319694282377927e-10,0.8975898939477803,HM,NA,1,1,NA,NA
20230621_4255_124000,2023-06-21,4255,PIST,white pine,53.4,19.27777777777778,13.6,17.3,13.333333333333334,D8,462.19,2.388644,19.27777777777778,240,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
20230622_1925_142300,2023-06-22,1925,ACRU,red maple,35.9,21.888888888888893,13.2,18.3,46.333333333333336,D8,462.19,2.388644,21.888888888888893,300,0.02308225438134962,LM,g-fact. > 2 | Intercept (LM),0.17189061290687246,6.319668530467458e-20,1.75452127915812,HM,NA,2,1,NA,NA
20230622_1962_143600,2023-06-22,1962,TSCA,hemlock,36.5,22.666666666666668,13.6,18.9,22.1,D8,462.19,2.388644,22.666666666666668,210,0.04680972515353713,HM,AICc | Intercept,0.3553040682294445,8.276897614612369e-22,1.3812878841938776,LM,RMSE | MAE | AICc,1,1,NA,NA
20230622_1928_144500,2023-06-22,1928,QURU,red oak,31.8,22.277777777777775,12.6,18.3,24.5,D8,462.19,2.388644,22.277777777777775,240,0.01648942090449598,HM,AICc | Intercept,0.13597599846426367,1.7704379048218938e-11,1.65244744803034,HM,NA,2,1,NA,NA
20230622_1866_145800,2023-06-22,1866,ACRU,red maple,19.8,23.5,12.6,19.5,49.6,C4,213.35,1.2626016666666666,23.5,210,0.0619464231547362,HM,AICc | Intercept,0.41621623691365695,1.4471859988226189e-30,1.3350326629152407,HM,NA,3,1,NA,NA
20230622_1707_151730,2023-06-22,1707,BEAL,yellow birch,37.3,23.944444444444443,12.9,18.7,20.5,D8,462.19,2.388644,23.944444444444443,270,0.02955520619547649,LM,g-fact. > 2 | Intercept (LM),0.41094882460789123,1.998176485646311e-44,1.9725613024828497,HM,NA,1,1,NA,NA
20230622_4782_153100,2023-06-22,4782,TSCA,hemlock,34.7,22.22222222222222,13.8,20.8,13.300000000000002,D8,462.19,2.388644,22.22222222222222,240,0.00264274894377219,LM,HM.flux is NA,0.00510389766092678,0.076437288579157,1.8802849428398816,HM,NA,1,1,NA,NA
20230622_4784_154430,2023-06-22,4784,TSCA,hemlock,12.3,22.88888888888889,13.7,21.5,17.433333333333334,B3,107.68,0.6169955555555556,22.88888888888889,210,0.08810010145785524,LM,g-fact. > 2 | Intercept (LM),0.8365590965079348,5.741145658841261e-138,2.3262918214925445,HM,NA,1,1,NA,NA
20230622_4776_160345,2023-06-22,4776,TSCA,hemlock,40.8,22.277777777777775,13.5,20.9,16.066666666666666,D8,462.19,2.388644,22.277777777777775,180,0.0174630879477687,LM,g-fact. > 2 | Intercept,0.13153769375705837,1.9642273342116957e-8,1.3128255625327587,HM,NA,1,1,NA,NA
20230622_4772_162245,2023-06-22,4772,TSCA,hemlock,35.6,22.722222222222225,13.3,20.8,32.199999999999996,D8,462.19,2.388644,22.722222222222225,180,0.00267532374742193,LM,HM.flux is NA,-0.00315287509937256,0.5247923979189424,0.5502353885931552,HM,NA,1,1,NA,NA
20230622_1831_163830,2023-06-22,1831,BEAL,yellow birch,22.9,22.722222222222225,13.3,19.9,27.96666666666667,D8,462.19,2.388644,22.722222222222225,210,0.19781345290420305,HM,Intercept (HM),0.9160030761582352,1.0573023943498271e-185,0.7944141108746315,HM,NA,2,1,NA,NA
20230622_1835_165500,2023-06-22,1835,TSCA,hemlock,55,22.16666666666667,14.2,20.2,14.166666666666666,D8,462.19,2.388644,22.16666666666667,180,-0.00233552669894106,HM,AICc | p-value | MDF | Intercept,-0.0039028081928194,0.5993707034450815,1.1219312988624155,HM,NA,1,1,NA,NA
20230623_973_090500,2023-06-23,973,PIST,white pine,44.4,18.77777777777778,14.3,17.9,7.400000000000001,6,462.19,2.388644,18.77777777777778,180,-0.08178034993629411,HM,NA,0.3030444496248178,2.960704368920561e-18,1.1231923642808963,HM,NA,1,1,NA,NA
