"SampleName","species","core_type","material","d13CH4","ch4_ppm","d13CO2","co2_ppm","tissue","alpha_C","eps_C"
"BB8","BELE","Mineral","Soil",-60.7185719078796,29.5527540313139,-17.7439826118905,933.298905695439,"Other",1.04575262324017,45.7526232401717
"BB8","BELE","Inner","Wood",-60.7185719078796,29.5527540313139,-17.7439826118905,933.298905695439,"Heartwood",1.04575262324017,45.7526232401717
"BB8","BELE","Organic","Soil",-60.7185719078796,29.5527540313139,-17.7439826118905,933.298905695439,"Other",1.04575262324017,45.7526232401717
"BB9","BELE","Mineral","Soil",-64.0568915191667,4.74918757216667,-20.764279964993,1311.38511217847,"Other",1.04625560160857,46.2556016085673
"BB9","BELE","Inner","Wood",-64.0568915191667,4.74918757216667,-20.764279964993,1311.38511217847,"Heartwood",1.04625560160857,46.2556016085673
"BB9","BELE","Organic","Soil",-64.0568915191667,4.74918757216667,-20.764279964993,1311.38511217847,"Other",1.04625560160857,46.2556016085673
"BB9","BELE","Outer","Wood",-64.0568915191667,4.74918757216667,-20.764279964993,1311.38511217847,"Sapwood",1.04625560160857,46.2556016085673
"BBGT1","BELE","Inner","Wood",-82.482253906757,8.01673646778472,-23.0492169449167,2481.48827591389,"Heartwood",1.0647758991201,64.7758991201031
"BBGT1","BELE","Outer","Wood",-82.482253906757,8.01673646778472,-23.0492169449167,2481.48827591389,"Sapwood",1.0647758991201,64.7758991201031
"BBGT1","BELE","Organic","Soil",-82.482253906757,8.01673646778472,-23.0492169449167,2481.48827591389,"Other",1.0647758991201,64.7758991201031
"BBGT1","BELE","Mineral","Soil",-82.482253906757,8.01673646778472,-23.0492169449167,2481.48827591389,"Other",1.0647758991201,64.7758991201031
"BBX6","BELE","Outer","Wood",-36.2884896239972,1.62173059606667,-25.6516501281979,2769.34049311181,"Sapwood",1.01103736894421,11.0373689442074
"BBX6","BELE","Organic","Soil",-36.2884896239972,1.62173059606667,-25.6516501281979,2769.34049311181,"Other",1.01103736894421,11.0373689442074
"BBX6","BELE","Mineral","Soil",-36.2884896239972,1.62173059606667,-25.6516501281979,2769.34049311181,"Other",1.01103736894421,11.0373689442074
"BBX6","BELE","Inner","Wood",-36.2884896239972,1.62173059606667,-25.6516501281979,2769.34049311181,"Heartwood",1.01103736894421,11.0373689442074
"PB1","BEPA","Inner","Wood",-44.7952992499166,6.77098177206111,-21.0271024589167,7287.4254117382,"Heartwood",1.0248828306355,24.8828306355022
"PB1","BEPA","Mineral","Soil",-44.7952992499166,6.77098177206111,-21.0271024589167,7287.4254117382,"Other",1.0248828306355,24.8828306355022
"PB1","BEPA","Organic","Soil",-44.7952992499166,6.77098177206111,-21.0271024589167,7287.4254117382,"Other",1.0248828306355,24.8828306355022
"PB1","BEPA","Outer","Wood",-44.7952992499166,6.77098177206111,-21.0271024589167,7287.4254117382,"Sapwood",1.0248828306355,24.8828306355022
"PB2","BEPA","Outer","Wood",23.3373064897915,2.64034208095689,-23.0493515188799,20021.2382913816,"Sapwood",0.954671194224527,-45.3288057754729
"PB2","BEPA","Inner","Wood",23.3373064897915,2.64034208095689,-23.0493515188799,20021.2382913816,"Heartwood",0.954671194224527,-45.3288057754729
"PB2","BEPA","Organic","Soil",23.3373064897915,2.64034208095689,-23.0493515188799,20021.2382913816,"Other",0.954671194224527,-45.3288057754729
"PB2","BEPA","Mineral","Soil",23.3373064897915,2.64034208095689,-23.0493515188799,20021.2382913816,"Other",0.954671194224527,-45.3288057754729
"PB3","BEPA","Inner","Wood",-40.933165478,43.7069959732277,-44.2019066208536,43194.7573151707,"Heartwood",0.996591748327443,-3.40825167255709
"PB3","BEPA","Mineral","Soil",-40.933165478,43.7069959732277,-44.2019066208536,43194.7573151707,"Other",0.996591748327443,-3.40825167255709
"PB3","BEPA","Outer","Wood",-40.933165478,43.7069959732277,-44.2019066208536,43194.7573151707,"Sapwood",0.996591748327443,-3.40825167255709
"PB3","BEPA","Organic","Soil",-40.933165478,43.7069959732277,-44.2019066208536,43194.7573151707,"Other",0.996591748327443,-3.40825167255709
"PB4","BEPA","Organic","Soil",171.717194647778,2.39525888481667,-22.7977467320174,1540.32917381111,"Other",0.833991561898802,-166.008438101198
"PB4","BEPA","Inner","Wood",171.717194647778,2.39525888481667,-22.7977467320174,1540.32917381111,"Heartwood",0.833991561898802,-166.008438101198
"PB4","BEPA","Mineral","Soil",171.717194647778,2.39525888481667,-22.7977467320174,1540.32917381111,"Other",0.833991561898802,-166.008438101198
"PB4","BEPA","Outer","Wood",171.717194647778,2.39525888481667,-22.7977467320174,1540.32917381111,"Sapwood",0.833991561898802,-166.008438101198
"PB5","BEPA","Organic","Soil",-23.5002621514306,12.5391498481667,-17.6849510329549,1536.70676751597,"Other",1.00595526132069,5.95526132069213
"PB5","BEPA","Outer","Wood",-23.5002621514306,12.5391498481667,-17.6849510329549,1536.70676751597,"Sapwood",1.00595526132069,5.95526132069213
"PB5","BEPA","Mineral","Soil",-23.5002621514306,12.5391498481667,-17.6849510329549,1536.70676751597,"Other",1.00595526132069,5.95526132069213
"PB5","BEPA","Inner","Wood",-23.5002621514306,12.5391498481667,-17.6849510329549,1536.70676751597,"Heartwood",1.00595526132069,5.95526132069213
"PB501","BEPA","Organic","Soil",-99.685698553375,7.02651059259757,-17.9534567539583,5840.26773338646,"Other",1.090781898797,90.781898796997
"PB501","BEPA","Outer","Wood",-99.685698553375,7.02651059259757,-17.9534567539583,5840.26773338646,"Sapwood",1.090781898797,90.781898796997
"PB501","BEPA","Inner","Wood",-99.685698553375,7.02651059259757,-17.9534567539583,5840.26773338646,"Heartwood",1.090781898797,90.781898796997
"PB501","BEPA","Mineral","Soil",-99.685698553375,7.02651059259757,-17.9534567539583,5840.26773338646,"Other",1.090781898797,90.781898796997
"AB1","FAGR","Outer","Wood",-71.7947263148468,239.893385579015,-4.39314244434116,237.11571510938,"Sapwood",1.0726149546672,72.6149546672024
"AB1","FAGR","Inner","Wood",-71.7947263148468,239.893385579015,-4.39314244434116,237.11571510938,"Heartwood",1.0726149546672,72.6149546672024
"AB1","FAGR","Organic","Soil",-71.7947263148468,239.893385579015,-4.39314244434116,237.11571510938,"Other",1.0726149546672,72.6149546672024
"AB1","FAGR","Mineral","Soil",-71.7947263148468,239.893385579015,-4.39314244434116,237.11571510938,"Other",1.0726149546672,72.6149546672024
"AB11","FAGR","Inner","Wood",-74.2047319400417,3.47993585709583,-20.8766025259792,2181.26948258333,"Heartwood",1.05760250808563,57.6025080856308
"AB11","FAGR","Outer","Wood",-74.2047319400417,3.47993585709583,-20.8766025259792,2181.26948258333,"Sapwood",1.05760250808563,57.6025080856308
