"SampleName","d13CH4","ch4_ppm","d13CO2","co2_ppm","alpha_C","eps_C","invCH4"
"AB6'",-61.4479210045227,12.5724624419233,-21.3320358551847,4662.75721468815,1.04274231131881,42.7423113188068,0.0795389132892109
"AB9",-60.7006771492221,2.61788717762917,-22.9267411650243,1664.69183580347,1.04021501460211,40.2150146021119,0.381987431905155
"ABT14P",-72.3484510168577,26.1865787365803,-23.9242716127153,3865.57558628796,1.05220082848697,52.2008284869715,0.0381875009354731
"WA1",-48.660871610927,2.3240145515059,-18.7975276366111,1849.01060519653,1.03139085010083,31.3908501008302,0.430289904747811
"WA101",-66.9098675770327,25.0140228505163,-20.4713634502691,3829.53347602327,1.0497685084357,49.7685084357029,0.0399775760171003
"WA102",-184.698822928807,2.29339150773719,-21.6048578539684,14907.5349443965,1.20004137079836,200.041370798361,0.436035450827436
"WA103",-41.2199048829445,1.74552402500694,-20.0497798056111,2209.50131273889,1.02208027177989,22.08027177989,0.572893862057282
"WA103*",-83.9753971837226,1059.60387834672,-15.688381441292,1676.32975137153,1.0745471415642,74.5471415641952,0.000943748905072229
"WA104",-66.188560850639,4.48093558527709,-17.8363354910417,496.37265287125,1.05177943140603,51.7794314060265,0.223167680268754
"WA104_Redo",-49.5588732143055,2.16115058826389,-16.2106696181806,439.582382303472,1.03508707973202,35.0870797320246,0.462716483261506
"WA12",-47.7849589918055,1.71337063804236,-20.4255287819757,5499.02745887084,1.02873240710508,28.7324071050821,0.583644879745673
"WA14",-52.6124907016528,5.28472973485971,-20.5084107520313,3737.48629265416,1.03388695716856,33.8869571685598,0.189224435339369
"WA5",-90.2010633005802,1056.06586597774,-6.9891418921095,811.34834388927,1.09146188025933,91.461880259333,0.000946910635232178
"WAX1",-64.5140866532361,6.07525325093367,-19.0536450771597,875.936896017256,1.04859553834802,48.5955383480212,0.164602191661116
"WP3",-63.8097077833818,15.5108548759527,-18.0383450330037,734.599945087309,1.04889108884264,48.8910888426382,0.0644709790657865
"WP4",-50.5461111004028,3.34726473132361,-20.5375750239271,2143.76716639652,1.03160610159937,31.606101599368,0.298751392634717
"WP402",-42.9410532494514,1.79796340538368,-20.6830997346319,3231.61448858125,1.02325661715027,23.2566171502715,0.5561848461463
"WP5",-51.5573578127881,3.42530770160174,-23.4692231976805,2837.99237893611,1.02961500608021,29.6150060802129,0.291944574653069
"WP6",-39.755162771934,3.00914151836979,-20.0176432879583,2119.59003849827,1.0205546738902,20.5546738902047,0.332320694754746
"WP8",-55.9032699984305,2.55025570272674,-20.9990351668264,5058.60248371666,1.03697103667709,36.9710366770852,0.3921175429314
"WPBERENICE",-44.7663028666944,1.83545465145417,-20.0561517141181,927.137950562152,1.02586817364874,25.8681736487443,0.544824138917153
"WPX2",-48.1674679491459,10.1338639630771,-19.0774725761667,1015.83121835695,1.03056209405903,30.5620940590261,0.0986790432201893
"WPX22",-41.2717402483888,5.42396316788992,-21.1840105174861,1706.32963401563,1.02095247482963,20.9524748296321,0.184367033670147
"WPX5",24.8084719712599,3.20725146132205,-38.3217655772519,48777.464453441,0.938398013604358,-61.6019863956417,0.311793450578956
"WPX7",-23.2703888380375,2.60315830316667,-20.7466685387222,2687.29252518403,1.0025838474338,2.58384743379803,0.384148746844758
"BC1",135.706521380972,1.79859832860694,-27.1025866046389,1063.94564964861,0.856645088391637,-143.354911608363,0.555988507325326
"BC2",18.8196074296968,3.78637635624494,-22.4244213989687,9603.53121259442,0.959517829723834,-40.4821702761659,0.26410475502539
"BC4",-35.3573549799105,19.2363133753496,-43.3301991211951,45231.7727801463,0.991734924655836,-8.26507534416388,0.0519850129537529
"WO1",-187.752687564395,1.79200143352145,-16.6742007357751,910.089174719308,1.21062364160446,210.623641604456,0.55803526788196
"RO1",-70.8880755363357,384.653795457883,-10.5836827050401,2483.48197731752,1.06490541262411,64.9054126241107,0.00259974036863362
"ROOM AIR H8_NA",-46.4052357974429,2.0612581631436,-10.3481202029225,492.878935856506,1.03781178016919,37.8117801691931,0.485140589316048
"RM1",-112.767059295169,16.1538752044869,-27.0806177959101,21891.7860211947,1.09657716431402,96.5771643140163,0.0619046505771098
"RM10",9.94547221528102,25.6588339107372,-20.209628322719,9282.24830145766,0.970141852835029,-29.8581471649709,0.038972932420812
"RM14",-82.3523233137778,7.22782407413194,-20.9723182432291,4593.23111300694,1.06688842202729,66.8884220272883,0.138354225247257
"RM2",-115.594166598159,5.20209765367499,-20.4115918197292,2183.1832451059,1.10762318743683,107.623187436828,0.1922301476393
"RM3",-69.126854805074,10.5344210420528,-26.4078827882606,17123.403845419,1.04589129274738,45.8912927473785,0.094926906377489
"RM301A",-83.6900549978248,52.2233566120657,-21.6536834449051,3320.94744725255,1.06770238813983,67.702388139826,0.0191485202191879
"RM302",-69.170113176637,131.390993183852,-22.3965571133074,18038.5299657481,1.05024930626471,50.2493062647069,0.00761087176349087
"RM303",-85.1070483403649,428.172263192299,-20.1737318010219,3915.24732728394,1.07097367667065,70.973676670645,0.00233550859307036
"RM304",-89.3269227766717,1058.26999162263,-19.4806594403139,4520.38328174526,1.07669740665807,76.6974066580746,0.000944938444741042
"RM4",-41.5436734313594,4.52512889616299,-26.8087102517865,20332.2363267402,1.01537364068776,15.3736406877563,0.220988180214697
